sense_id,pos,gloss,def,reverse,note
5ed87031-8faa-4805-9bd7-492143782ee2,n,{'pt': 'pessoa.medrosa'},{'pt': 'pessoa medrosa'},,
8e4c82e7-7bad-4968-96c6-675114c274a2,v,{'pt': 'aguado'},{'pt': 'aguado'},,
4b406dde-abeb-45c4-be61-d326a330ea83,Noun,"{'en': 'porcupine', 'pt': 'cuandu'}","{'en': 'porcupine', 'pt': 'cuandu; porco-espinho'}",,
ab6100d4-bae8-44a2-8b89-ad9b4dd741bc,n,{'pt': 'flecha'},{'pt': 'flecha; planta que se faz flecha'},,
5d24971c-7fce-49dc-9988-bb1f09205e3c,adv,{'pt': 'amanhã'},{'pt': 'amanhã'},,
5a92a4b9-5c68-4cbb-8d09-4b2115434816,Noun,{'en': 'areia'},,,
345923ca-f0b1-4f5e-8a2f-7180506bb109,n op,{'pt': 'cordão.umbilical'},{'pt': 'cordão umbilical'},,
8ac899b5-87a0-4f40-8381-223334c53938,v,{'pt': 'sentar.no.chão'},{'pt': 'sentar no chão; estar'},,
ce786d73-57e0-470c-866a-4d542a027653,onom,{'pt': 'levantar.coisa'},{'pt': 'exclamação (grito) quando evanta alguma coisa pesada'},,
7fbd2f47-c78c-4fd7-9aa5-89ad13550e63,,"{'en': 'NMRL:2', 'pt': 'NMRL:2'}","{'en': 'two', 'pt': 'dois'}",,
c72b8439-5d2b-4279-bda9-8034d3430c1b,Noun,"{'en': 'kapok', 'pt': 'sumaumeira'}","{'en': 'kapok', 'pt': 'sumaumeira'}",,
d362da7b-f84d-47f5-8626-16875f0cc2da,v,{'pt': 'mandar'},{'pt': 'mandar'},,
eef2d335-3c5d-48a4-a68f-0de3984365f8,v,{'pt': 'lavar'},{'pt': 'lavar'},,
daa9b5d2-cb3b-43ed-9e12-bc80b1f2e5ae,Verb,{'en': 'sup.with.finger'},,,
cd962a77-92e5-4f64-8d18-27b4f9b75d40,v,{'pt': 'encontrar-se'},{'pt': 'encontar-se'},,
30859a9b-4532-4025-856e-a30d0505d8e6,n,{'pt': 'cipó.sp'},{'pt': 'esp. de cipó'},,
28976492-decb-410a-aac6-75cd5b7073ae,Noun,"{'en': 'name', 'pt': 'nome'}","{'en': 'name', 'pt': 'nome'}",,
50255f76-792d-44fc-b78b-e281cea44e2e,Noun,{'en': 'roça'},,,
