entry_id,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
p’ooh1_8351b529-6dec-4374-bbcc-30b2cb59847d,Fieldnotes Epps/Obert; 2018,2018-09-03T23:33:33Z,,p’ooh,stem,{},"{'Sil Dict 2011': 'pʹooh', 'Barbosa': 'po̰ːh', 'Martins': 'pɔ̰ːh'}",poʔoh,"[{'pos': '', 'gloss': {'en': 'hot.pepper', 'pt': 'pimenta'}, 'def': {'en': 'hot pepper', 'pt': 'pimenta'}, 'reverse': ""{'pt': 'pimenta', 'en': 'hot pepper'}"", 'note': '', 'these_vars': ''}]","{'pʹooh_273cba08-0c9f-4d9f-94d9-781b09b51113': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}, 'po̰ːh2_54d92d11-2e4d-45ab-b4b2-76011f12d6a6': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}, 'pɔ̰ːh_305a16c3-890b-41f0-bce8-2203310fd843': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
,,,,,,,,,,,
noo1_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943,Epps/Obert Fieldnotes 2018,2018-06-20T05:09:53Z,2019-11-21T21:58:00Z,noo %OR% nooh,stem,{'bibliography': 'Weir 1990; Fieldnotes Epps/Obert; 2018'},{'Martins': 'nɔ̃:h'},no:,"[{'pos': 'Noun', 'gloss': {'en': 'mouth', 'pt': 'boca'}, 'def': {'en': 'mouth', 'pt': 'boca'}, 'reverse': '', 'note': '', 'these_vars': ""{'nɔ̃ːh_e5a9b44a-535d-4fbc-a143-4da67996e110': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Martins 2005; boca'}}""}]","{'noo hẽnh_02548d67-7403-4ae6-be8f-4064def13b13': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}, 'tób noo_48022e98-375b-4199-87d2-fa409cc25ba0': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}",
,,,,,,,,,,,
tahʹỹỹb_979a8c31-a85b-459d-b598-414010f8b465,Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:53Z,,tahʹỹỹb,stem,{},,taˈhɨ̃ʔɨ̃b˺,"[{'pos': 'n', 'gloss': {'en': 'fish', 'pt': 'peixe'}, 'def': {'en': 'fish (generic)', 'pt': 'peixe (generico)'}, 'reverse': '', 'note': '', 'these_vars': ''}]",,{}
,,,,,,,,,,,
warahén_d19ed409-f161-40d6-90a9-dede5c019714,Epps/Obert Fieldnotes 2019,2019-01-14T03:46:55Z,2019-11-25T16:08:26Z,warahén %OR% warahen,stem,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},waɾahɛdn,"[{'pos': 'Noun', 'gloss': {'en': 'policeman', 'pt': 'policía'}, 'def': {'en': 'policeman', 'pt': 'policía'}, 'reverse': '', 'note': '', 'these_vars': ''}, {'pos': 'Noun', 'gloss': {'en': 'soldier', 'pt': 'soldado'}, 'def': {'en': 'soldier', 'pt': 'soldado'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
jëë_a0520e71-1c6b-440a-bfb4-073d8767e810,Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:53Z,,jëë,stem,{},{'Martins': 'jɤːʔ'},jə:,"[{'pos': 'n', 'gloss': {'en': 'peach.palm', 'pt': 'pupunha'}, 'def': {'en': 'peach palm', 'pt': 'pupunha'}, 'reverse': ""{'pt': 'pupunha', 'en': 'peach palm'}"", 'note': '', 'these_vars': ''}]","{'jɤːʔ_2d1daa55-a783-476e-a7fa-47d1ef2527ac': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
,,,,,,,,,,,
wajats2_ad8e1685-a540-42c7-a1a6-345f1d62a409,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:55Z,,wajats,stem,,"{'Sil Dict 2011': 'wajats', 'Barbosa': 'wajaɟ'}",wajaɟ̚,"[{'pos': 'Noun', 'gloss': {'en': 'manatee', 'pt': 'peixe-boi'}, 'def': {'en': 'manatee', 'pt': 'peixe-boi'}, 'reverse': '', 'note': '', 'these_vars': ''}]","{'wajats1_3fb72e42-5cf7-4b2d-b65a-71b38ccc0086': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}, 'wajaɟ_c1817866-514a-499b-9b91-4dc9f2c9ccb8': {'type': '_component-lexeme', 'variant-type': 'Barbosa', 'summary': 'peixe-boi'}}",{}
,,,,,,,,,,,
