headword,ipa,entry_id,matches
ʔaɾoːɾ,aro:r,ʔaɾoːɾ_02510f6f-9440-4065-8ef1-609ab7927a49,"[('waroor', 'waroor_310a012a-5389-45b6-ac33-6975f863c15f', 0.9090909090909091), ('ɾoːɾ', 'ɾoːɾ_4cf16e5f-320d-49e2-a128-4ae50a674b2b', 0.8888888888888888), ('roor', 'roor_3015a52d-88c5-432a-befd-e2eab5325dc6', 0.8888888888888888), ('saroor', 'saroor1_ca5bfa8b-4463-4b3d-a0be-200a2bac12b9', 0.9090909090909091), ('ɾoːɾ', 'ɾoːɾ_4cf16e5f-320d-49e2-a128-4ae50a674b2b', 1.0), ('roor', 'roor_3015a52d-88c5-432a-befd-e2eab5325dc6', 1.0), ('saroor', 'saroor2_d5e2a7f5-0b77-41ec-aebc-0f8c9ce1602c', 0.9090909090909091)]"
tawarẽẽh,taware:̃h,tawarẽẽh1_025c1d2a-ce6b-4f4a-89c6-58f7995ce55a,"[('tawarẽẽh', 'tawarẽẽh2_642a50b2-2f1f-4a04-9d77-79bea7e1cdc9', 0.9444444444444444)]"
h’ëëd,hə̰:d,h’ëëd_025fec92-6af8-4d61-8544-bdb0e0362545,"[('hʹëëd', 'hʹëëd2_9e74513c-440f-4e3d-9106-81f0bcd89d90', 1.0), ('hʹëëd', 'hʹëëd1_a60368d9-bc6d-49b9-aeef-eaa8980142fa', 1.0)]"
atsóm,atʃɔm,atsóm_02a79639-e72e-482a-98fe-e2a3e76d3f81,[]
jeer,je:r,jeer2_02adeefa-c0e5-4849-95e7-63f3e5494313,"[('jeer', 'jeer1_dcf38115-f9b7-41ec-b6ae-538a587c6415', 1.0)]"
keroo,kero:,keroo_0309e768-1308-4e05-955c-92fa27bdc0b1,"[('ɾoːɾ', 'ɾoːɾ_4cf16e5f-320d-49e2-a128-4ae50a674b2b', 0.8571428571428571), ('roor', 'roor_3015a52d-88c5-432a-befd-e2eab5325dc6', 0.8571428571428571)]"
hɯ̰ːb,hɨ̰:b,hɯ̰ːb_030b2a7d-4650-45f3-a4e4-5c6c0edeb33e,"[('hɯ̰̃ːb', 'hɯ̰̃ːb_13495014-5582-4f05-84fc-3cb0ed8b0ed2', 0.9545454545454546), ('hʹỹỹb', 'hʹỹỹb_619d57b3-8d4b-4700-b236-f85239dd9576', 0.9545454545454546), ('h’ëëb', 'h’ëëb_2d2a4415-053e-4b4e-bf26-6a3fb35e5a49', 0.9)]"
naëng,naəŋ,naëng_031a7339-0644-4618-af27-88f71d6565db,"[('naʔəŋ', 'naʔəŋ2_53d64a2f-8e76-45e0-912f-3064e781e9fa', 1.0)]"
jʹeenh,jḛ:ɲ,jʹeenh_033fa6a4-bc25-446d-8349-5ce48c651c79,[]
emaan,ema:n,emaan_03582b22-b335-4af8-8c23-2043541e28f8,"[('mayyn', 'mayyn_d78aebcd-72b7-4625-9c88-32586feea810', 0.8888888888888888), ('ebaan', 'ebaan_a4743021-4fb5-4c67-a96c-b605a21e6d44', 0.9)]"
ʔagɔp,agɔp,ʔagɔp_04058245-c971-4e27-85ac-b9a2c17f90d4,[]
kawa,kawa,kawa_0431db34-f253-491d-bb2e-bcb885fdcd8d,"[('wa', 'wa_e58b4b2e-785b-436d-b8c1-c5e899be438f', 1.0), ('awa', 'awa_81084abe-5872-41b3-bb65-8b687a3b00a1', 0.8571428571428571), ('waa', 'waa1_36bdcbb1-66cb-47fc-a7ce-1204359c2a61', 0.9)]"
noo keham,no: keham,noo keham_0456f9ea-7465-48e4-9c8e-0237e472be1c,[]
asooh,aʃo:h,asooh_045c762b-0b2e-4233-a013-7e921270d050,"[('sooh', 'sooh_e9c38f60-21ca-4df6-98bc-73b6d002930b', 0.8888888888888888), ('basooh', 'basooh2_c72d9c5c-d8fc-4c06-9f6d-f9ef9f262f1a', 0.9090909090909091), ('sooh', 'sooh_e9c38f60-21ca-4df6-98bc-73b6d002930b', 1.0), ('soo', 'soo1_8d4ce206-887a-448d-a7db-8239d7cbeccf', 0.9285714285714286), ('ʃoːʔ', 'ʃoːʔ_634a34c1-ac25-46b2-88d0-2498c1253e6f', 0.9285714285714286)]"
og,og,og_0494a7fa-d8da-4ac0-91c0-9a9720cc9179,[]
yes,jeʃ,yes_04990b15-8b2a-461b-a60e-2fb685209222,[]
sʹĩĩs,ʃḭ:̃ʃ,sʹĩĩs_04a67789-1620-4fc0-84d2-208fb49de8d2,[]
pɤː,pə:,pɤː_0502685b-1c3b-4176-8f36-aa53edfdebee,"[('pɤːw', 'pɤːw_afd1d56f-ca8f-4cca-9561-cec36292ec9d', 0.8571428571428571), ('pɤːʔ', 'pɤːʔ_25842643-9b52-44b1-8b43-182c1b11992f', 1.0), ('pëëd', 'pëëd_575e234e-0e14-44a8-a947-b90d4f165f7b', 0.8571428571428571), ('pëë', 'pëë_8eeb53c7-1d25-48da-8b2d-51f5314aa791', 1.0), ('pëëw', 'pëëw_bc51e1f0-68ce-4051-b925-7b7eef2ce693', 0.8571428571428571)]"
manaɨɨn,manaɨ:n,manaɨɨn_0519d13e-de74-4be6-9a95-081baa8e3956,"[('ỹỹn', 'ỹỹn2_cd68549e-1a6e-4765-94fe-b4d379bdf417', 0.9285714285714286), ('ỹỹn', 'ỹỹn1_834d53d4-10c0-49d7-803d-00921ec62593', 0.9285714285714286), ('ʔɨ̃ːn', 'ʔɨ̃ːn3_8a3f7405-eec1-49f8-b745-65fb7c006f0c', 0.9285714285714286), ('manayyn', 'manayyn_c4a009b5-b17a-4f90-8a6d-7a9563252e24', 1.0)]"
