entry_id,headword,morph_type,pronunciation,variant_of,these_vars,note,sense,date,bibliography,other_sources
wã̰:j_b7f7bcc6-d22c-4598-833adf8db3b72e72,wã̰:j,stem,wã̰:j,{},"{'wã̰ːj_b7f7bcc6-d22c-4598-833a-df8db3b72e71': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{'Note': 'Predicted phonemic form from source Barbosa.'},['4efd7702-cf05-40d8-847c-eb5cc0afb71f'],2018-06-20T05:09:54Z,Barbosa,{'Barbosa': 'wã̰ːj'}
ɨ̃:m_b7f8608c-1aaa-4014-b04d968cde2f7f88,ɨ̃:m,stem,ɨ̃:m,{},"{'ỹỹm2_b7f8608c-1aaa-4014-b04d-968cde2f7f87': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['b3209c8e-3460-48bd-8ce6-2ecd3acfb90d'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'ỹỹm'}
kawə̰:g_b88a3875-3619-4304-b62c9646b1161138,kawə̰:g,stem,kawə̰:g,{},"{'kawɤ̰ːg_b88a3875-3619-4304-b62c-9646b1161137': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{'Note': 'Predicted phonemic form from source Martins.'},['4f37f451-f9c7-46e5-9bf2-20ea07bb94fd'],2018-06-20T05:09:53Z,Martins,{'Martins': 'kawɤ̰ːg'}
kamehã̰:k_b9854493-0765-4b65-b7dbaf82e21453d6,kamehã̰:k,stem,kamehã̰:k,{},"{'kamehʹããk_b9854493-0765-4b65-b7db-af82e21453d5': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['e05e7677-4e81-4cfa-92cf-48e4334f35a1'],2018-03-08T07:17:52Z,SIL Dict 2011,{'Sil Dict 2011': 'kamehʹããk'}
akã:_b98e7e00-49af-471c-bb4a1cbc7265657e,akã:,stem,akã:,{},"{'akãã_b98e7e00-49af-471c-bb4a-1cbc7265657d': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['99df7779-2ec1-4827-a925-dadc899e8c89'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'akãã'}
mana:_b999ce06-0ede-4cd1-850cf0321b9a34c2,mana:,stem,mana:,{},"{'manaa1_b999ce06-0ede-4cd1-850c-f0321b9a34c1': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['3dc7d08c-b772-4047-88f7-269b129dba53'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'manaa'}
hɨ̰: gaẽ:ɲ_ba2b5a64-2e14-4e6d-98668002f7689343,hɨ̰: gaẽ:ɲ,stem,hɨ̰: gaẽ:ɲ,{},"{'hʹyy gaẽẽnh_ba2b5a64-2e14-4e6d-9866-8002f7689342': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['d4cc9505-c2a9-4ed8-b7e7-6bc0acefbcbc'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'hʹyy gaẽẽnh'}
gaco:h_ba2fdaf6-2fb2-4698-b70076773ab5976b,gaco:h,stem,gaco:h,{},"{'gatsooh_ba2fdaf6-2fb2-4698-b700-76773ab5976a': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['9d4b2d21-64aa-429e-98c0-f0ebd109f1b1'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'gatsooh'}
gḛ̃:_bb15228e-b935-4dde-918afc235e9393ce,gḛ̃:,stem,gḛ̃:,{},"{'gʹẽẽ2_bb15228e-b935-4dde-918a-fc235e9393cd': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['18607acf-e7ee-44d5-81cf-6dcfbc8298b0'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'gʹẽẽ'}
ʃanãjo:_bbb30dd3-8d2d-4e61-9338801fbdf58e0b,ʃanãjo:,stem,ʃanãjo:,{},"{'ʃanãjoːʔ_bbb30dd3-8d2d-4e61-9338-801fbdf58e0a': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{'Note': 'Predicted phonemic form from source Martins.'},['df293ffa-a94a-42c6-955d-5ab97b5dcf94'],2018-06-20T05:09:53Z,Martins,{'Martins': 'ʃanãjoːʔ'}
