guids,entry_id,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
a752ee65,ji etsen dooh_a752ee65-1d41-4313-b34f-bf4fb2d8760e,Epps/Obert Fieldnotes 2019,2019-11-15T22:41:59Z,2019-11-21T22:04:30Z,ji etsen dooh,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},ji etʃen do:h,['90023328-908c-4fef-9ff9-74583dd39b2b'],{},"{'ji_5c846915-d6fc-437b-8c7d-67cffc4f1362': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}, 'etsén_412c9d80-d967-4e56-9853-38c91ef3e7e0': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}, 'doo4_8f96a134-db02-4580-a0d5-0599f0a181e1': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
68169655,ji h&apos;ëëd ji ha padahé d&apos;ëëk doo_68169655-85fe-48df-9aa9-de1eba3a8c75,Epps/Obert Fieldnotes 2019,2020-01-08T19:01:15Z,2020-01-08T19:01:47Z,ji h'ëëd ji ha padahé d'ëëk doo,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},,['945cb3e5-4f03-472a-81b3-11ba8871a41a'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
9f83cc11,ji marong tỹỹ etsa n&apos;aa_9f83cc11-4bcc-4168-8c48-362fb1ae61b7,Epps/Obert Fieldnotes 2019,2020-01-08T18:41:42Z,2020-01-08T18:46:24Z,ji marong tỹỹ etsa n'aa,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},jiʔ maɾõŋ tɨ̃: eɉa naʔa,['2b6cbf6b-96c4-4215-81aa-2f9a6785dca2'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
bc86d67c,ji moo t&apos;aah_bc86d67c-d4ca-4304-9fb8-25657c35b382,Epps/Obert Fieldnotes 2019,2020-01-08T17:26:01Z,2020-01-08T17:27:25Z,ji moo t'aah,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},ji mɔ̃: taʔah,['1999cd4f-c0cf-4664-bf32-b5ae301a83c3'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
265a37bf,kyyh gadoo_265a37bf-c66f-4f24-8b62-ce00209b0a68,,2019-11-06T15:00:06Z,2019-11-06T15:01:07Z,kyyh gadoo,phrase,,{},kɨ:h k'ado:,['21038ede-2d5d-4258-a63a-63b508076198'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
e262cff9,na-ããj hẽ_e262cff9-ba73-4172-a5b8-d9c485093136,Epps/Obert Fieldnotes 2019,2019-11-17T03:32:21Z,2019-11-17T03:35:35Z,na-ããj hẽ,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},naʔã:j hɛ̃,['9ed2449a-3f59-41ae-8c3c-42988eb4295f'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
9097f51b,nabuuj kahũũm_9097f51b-4a78-4252-a6d0-c73cd809385f,,2019-11-15T21:25:46Z,2019-12-04T23:31:19Z,nabuuj kahũũm,phrase,,{},na'buj kahũ:m,['843c154d-6308-4f95-81db-043ad17866f0'],{},"{'nabuuj_cb6fe9b5-c752-4979-abff-e6d8db6d476b': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}}"
d061f271,nag&apos;aap hẽ_d061f271-a505-4648-839a-49668d255562,Epps/Obert Fieldnotes 2019,2019-11-16T19:15:36Z,2019-11-16T19:17:25Z,nag'aap hẽ,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},nakaʔap hɛ̃ʔ,['a542b462-32e1-418f-9370-075159c34cf1'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
02548d67,noo hẽnh_02548d67-7403-4ae6-be8f-4064def13b13,Epps/Obert Fieldnotes 2019,2018-03-21T21:43:54Z,2019-12-21T21:16:56Z,noo hẽnh,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},"{'Sil Dict 2011': ""n'oo hẽnh""}",no: hɛ̃ɲ,['ae56a69b-7017-4a32-a8ea-5f87e4558b57'],{},"{'noo1_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}}"
740bd66c,nuu k’ëë_740bd66c-bce6-41f0-b0db-badc43e94128,Epps/Obert Fieldnotes 2018,2018-07-07T17:41:08Z,2020-01-08T16:20:15Z,nuu k’ëë,phrase,"{'bibliography': 'Fieldnotes Epps/Obert; 2018', 'Note': 'problem: nũ kǝʔeʔ or  nũ kɨʔɨʔ'}",{},nũ: kǝʔeʔ,['60ce194c-de53-425d-94f3-03645fc7df79'],{},"{'nuuh_98b2fa13-5514-4958-bbe6-86001f73c6a4': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}, 'k’ëë_33265ec6-c2f0-40d5-a1eb-edc43610b9ea': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
c3d4d0b7,p&apos;ooj ub_c3d4d0b7-a697-421b-8810-b27fc9f4e533,,2019-11-05T14:35:34Z,2019-11-05T14:38:48Z,p'ooj ub,phrase,,{},[pʔo:j'ub],['45e7355b-c3f8-4284-abd9-f9cb90905656'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
1cfd2a36,seeh_1cfd2a36-ecf9-42a1-8bdc-2975ec83305d,Epps/Obert Fieldnotes 2018,2018-07-07T17:55:36Z,2019-11-05T20:05:12Z,seeh,phrase,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},ʃe:h,['1df41774-55b8-4973-9205-89e0e4227579'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
8d56b390,ta pagëëd_8d56b390-800b-4f29-b25f-2cabf8c15c43,Epps/Obert Fieldnotes 2019,2019-12-30T14:08:58Z,2019-12-30T14:19:47Z,ta pagëëd,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},ta pag'ə:d,['86ef863e-45bc-4920-ab60-ecdc9e06482d'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Idiom'}}"
459c3c9d,tah&apos;ëët ub_459c3c9d-f5bf-421b-a570-ddb9e6e06b65,Epps/Obert Fieldnotes 2019,2019-12-02T02:25:31Z,2019-12-02T02:26:49Z,tah'ëët ub,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},tahəʔət ub,['d97fe683-6767-4a80-b56a-7de2eb2d6885'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
e91e270e,taheen n&apos;aa getsa doo_e91e270e-f253-4f7d-97e7-501f7659b3a0,Epps/Obert Fieldnotes 2019,2019-11-21T21:49:50Z,2020-01-08T17:07:06Z,taheen n'aa getsa doo,phrase,{'restrictions': 'Epps/Obert; Fieldnotes 2019'},{},tahe:dn naʔa k'eɟa do:,['1946b36d-50da-4858-a28c-6768740e6a91'],{},"{'etsaa_7d0273f5-bfcc-4597-943c-39bb22d1dfff': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}, 'doo4_8f96a134-db02-4580-a0d5-0599f0a181e1': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}, 'heen n&apos;aa_e00ea0a4-a593-43c3-b339-f3933a66bdca': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
56450a3f,tëëg yb gabuuj_56450a3f-79eb-42ae-a019-69e52ec13302,Epps/Obert Fieldnotes 2019,2020-01-08T02:43:29Z,2020-01-08T02:45:36Z,tëëg yb gabuuj,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},tə:g̚ ʔɨb̚ g'a'bu:j,['93174cff-eaba-4d71-8d1a-5aa7f25338bb'],{},"{'tëëg yb_f8951250-2fb0-48b9-b08c-6e0875754bde': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}, 'abuuj_ca2e4d7b-85b5-4e4f-85c1-ca6b3ed3a14d': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
48022e98,tób noo_48022e98-375b-4199-87d2-fa409cc25ba0,Epps/Obert Fieldnotes 2019,2019-11-21T21:55:42Z,2019-11-21T21:57:03Z,tób noo,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},tɔb no:,['4ae0948e-3864-422f-a588-e7c61ea4edb6'],{},"{'tób_8e356cef-e3f2-4646-8e11-7c62d369a9fd': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}, 'noo1_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
cfac9e5c,tug däg_cfac9e5c-98f2-4944-bb4a-10efe994cff7,Epps/Obert Fieldnotes 2019,2019-12-13T13:52:08Z,2019-12-13T13:53:45Z,tug däg,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},tug dʌg,['49b81c21-4211-491b-ac52-7dd58196cde0'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
6b5f32bb,w&apos;ëëg bëëh_6b5f32bb-8797-4610-82ce-6333156b8606,Epps/Obert Fieldnotes 2019,2019-12-20T19:40:06Z,2019-12-21T20:43:58Z,w'ëëg bëëh,phrase,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},wəʔək bə:h,['49f0d4fe-a20f-4c18-9955-ca802a99d536'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Compound'}}"
c55e7ae2,wë tëëg_c55e7ae2-f4a0-486b-9682-71148c281869,,2019-12-31T13:32:32Z,2019-12-31T13:33:41Z,wë tëëg,phrase,,{},wǝʔ tǝ:k,['ec433311-287e-4343-b52d-3eb9a8b90ad1'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Compound'}}"
