,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
ʃũ:ʃ_d0c4a398-72c0-465e-b5f59f1d2d9152b,encontrado na cartilha 4; lição 16,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,ʃũ:ʃ,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'sũũs'},ʃũ:ʃ,['1755e571-3327-4dda-80ab-ed46a26ecc93'],"{'sũũs_d0c4a398-72c0-465e-b5f5-09f1d2d9152a': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 16'}}",{}
wə̰:ɲ_d1568243-8849-4f87-835ebc168b791fa4,encontrado na cartilha 4; lição 17,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,wə̰:ɲ,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'wʹëënh'},wə̰:ɲ,['f142cf20-3fbb-450d-a0a4-83d7ce872310'],"{'wʹëënh_d1568243-8849-4f87-835e-bc168b791fa3': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 17'}}",{}
gecɨ̰:t_d4cda079-ada5-4609-b46fa33588cca222,encontrado na cartilha 4; lição 2,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,gecɨ̰:t,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'getsʹyyt'},gecɨ̰:t,['ce91ce9e-cf07-43f2-9de3-ac02f494f007'],"{'getsʹyyt_d4cda079-ada5-4609-b46f-a33588cca221': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 2'}}",{}
nʌŋ_d60ff176-1202-4425-98d34a3ae5fa1645,encontrado na cartilha 4; lição 5,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,nʌŋ,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'näng'},nʌŋ,['0de23850-3788-4236-b205-5de3ffde2ca5'],"{'näng_d60ff176-1202-4425-98d3-4a3ae5fa1644': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 5'}}",{}
də́ŋ_da019cd9-ee6c-4770-86c22894aa3e5734,Weir 1986,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z,də́ŋ,stem,{'Note': 'Predicted phonemic form from source Weir.'},{'Weir': 'dʉ́ng'},də́ŋ,['32f40b45-9213-485c-9865-f67b353bb7fb'],"{'dʉ́ng_da019cd9-ee6c-4770-86c2-2894aa3e5733': {'type': '_component-lexeme', 'variant-type': 'Weir 1986'}}",{}
keda̰:ʃ_e2551ae2-7094-4445-98e63f71b7b4f192,encontrado na cartilha 4; lição 6 f. 'edas' (bater) e par. 'ky' (?),2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,keda̰:ʃ,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'kedʹaas'},keda̰:ʃ,['507cb411-04ca-4375-bd17-a8f3fc831f5a'],"{'kedʹaas_e2551ae2-7094-4445-98e6-3f71b7b4f191': {'type': '_component-lexeme', 'variant-type': ""encontrado na cartilha 4; lição 6 f. 'edas' (bater) e par. 'ky' (?)""}}",{}
hɨ̃:h_e2aac6ce-87d1-4108-851938b7d7501b1b,encontrado na cartilha 4; lição 17; f. pronome 'hahỹỹh',2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,hɨ̃:h,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'hỹỹh'},hɨ̃:h,['da363d82-eb3d-4133-8751-411ee739e13c'],"{'hỹỹh_e2aac6ce-87d1-4108-8519-38b7d7501b1a': {'type': '_component-lexeme', 'variant-type': ""encontrado na cartilha 4; lição 17; f. pronome 'hahỹỹh'""}}",{}
wa_e58b4b2e-785b-436d-b8c1c5e899be4390,encontrado na cartilha 4; lição 10,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,wa,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'wa'},wa,['bd30568e-2a09-43fa-be56-2706adc5f73d'],"{'wa_e58b4b2e-785b-436d-b8c1-c5e899be438f': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 10'}}",{}
kekõ:n_e5ee3de2-9579-4635-afa25654c3753105,encontrado na cartilha 4; lição 15,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,kekõ:n,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'kekõõn'},kekõ:n,['8c97fb0d-388c-49b6-aead-95e8e64e5584'],"{'kekõõn_e5ee3de2-9579-4635-afa2-5654c3753104': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 15'}}",{}
hɨ̰:b tawɛn_e7ad8433-6d98-4bf5-8ca6f34248363aca,encontrado na cartilha 4; lições 15  18,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,hɨ̰:b tawɛn,phrase,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'hʹyyb tawén'},hɨ̰:b tawɛn,['e4491616-c305-46ed-998f-a2270f89e710'],"{'hʹyyb tawén_e7ad8433-6d98-4bf5-8ca6-f34248363ac9': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lições 15  18'}}",{}
hawʌt_ee5984fe-4b74-4ff7-994be1c68e1486b7,encontrado na cartilha 4; lição 7,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,hawʌt,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'hawät'},hawʌt,['81d0ec1a-1cc0-424c-b3b2-c7d4c47c377c'],"{'hawät_ee5984fe-4b74-4ff7-994b-e1c68e1486b6': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 7'}}",{}
nahə́ə́h_efde7ae3-ad6d-4780-bc2d938e26a751b3,Weir 1990; Weir 1994,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z,nahə́ə́h,stem,{'Note': 'Predicted phonemic form from source Weir.'},{'Weir': 'nahʉ́ʉ́h'},nahə́ə́h,['8aa075ca-a6d4-4f87-b38a-00ec3971b01e'],"{'nahʉ́ʉ́h_efde7ae3-ad6d-4780-bc2d-938e26a751b2': {'type': '_component-lexeme', 'variant-type': 'Weir 1990; Weir 1994'}}",{}
powɔp_f4fa58ea-3563-4a73-924166d524638a30,encontrado na cartilha 4; lição 7,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,powɔp,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'powóp'},powɔp,['963113bc-c1d2-4eb4-82f8-9d0d67f0d8bf'],"{'powóp_f4fa58ea-3563-4a73-9241-66d524638a2f': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 7'}}",{}
tɔ̰̃p_f5d2c6fc-7483-4978-a80f1a12a7d69427,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z,tɔ̰̃p,stem,{'Note': 'Predicted phonemic form from source undef.'},{'undef': 'tɔ̰̃p'},tɔ̰̃p,['cf6d4de6-25d4-4745-9df7-8b8c3259055f'],"{'tɔ̰̃p_f5d2c6fc-7483-4978-a80f-1a12a7d69426': {'type': '_component-lexeme', 'variant-type': ''}}",{}
aʃop_f5f8196a-3021-4af8-b22f7317b5d12711,Martins,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z,aʃop,stem,{'Note': 'Predicted phonemic form from source Martins.'},{'Martins': 'ʔaʃop'},aʃop,['cc670aac-f288-40ce-9795-9da0bfd83077'],"{'ʔaʃop_f5f8196a-3021-4af8-b22f-7317b5d12710': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
pacə:_f975debe-d1b6-4a5a-94a8562e89f3b5a7,SIL Dict 2011,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,pacə:,stem,{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},{'Sil Dict 2011': 'patsëë'},pacə:,['960aad04-742e-41a6-a845-681f676d1253'],"{'patsëë_f975debe-d1b6-4a5a-94a8-562e89f3b5a6': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
ʃatə:h_faede2ca-26e4-47e4-82b79b5b0517a522,encontrado na cartilha 4; lição 17,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,ʃatə:h,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'satëëh'},ʃatə:h,['c0cbab5b-37b9-40f4-bb34-d13317663d3b'],"{'satëëh_faede2ca-26e4-47e4-82b7-9b5b0517a521': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 17'}}",{}
ʃə:t_fba5372b-8eca-4bc9-9c0d44ee540ee829,encontrado na cartilha 4; lição 2,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,ʃə:t,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'sëët'},ʃə:t,['91b4ec9b-3454-4a82-955c-d397a6141f8e'],"{'sëët_fba5372b-8eca-4bc9-9c0d-44ee540ee828': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 2'}}",{}
kecək_fd6da278-89a5-4bbf-92ab6535f4c01f92,encontrado na cartilha 4; lição 17,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,kecək,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'ketsëk'},kecək,['1ea498e1-3443-461b-aa55-d2d5b01ba48f'],"{'ketsëk_fd6da278-89a5-4bbf-92ab-6535f4c01f91': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 17'}}",{}
ri:_fe01223b-1dfb-48ca-b4be80ae1b04e1dc,encontrado na cartilha 4; lição 8,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,ri:,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'rii'},ri:,['268369b7-3c64-46c9-8966-1b427339bd10'],"{'rii_fe01223b-1dfb-48ca-b4be-80ae1b04e1db': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 8'}}",{}
hɨ̃:_fee5a672-b4ee-4f11-a91addb6298bf762,encontrado na cartilha 4; lição 14,2018-03-22T21:18:02Z,2018-03-22T21:18:02Z,hɨ̃:,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'hỹỹ'},hɨ̃:,['4713b0d1-e327-4b22-a41b-7db7430fe70e'],"{'hỹỹ_fee5a672-b4ee-4f11-a91a-ddb6298bf761': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 14'}}",{}
agõng_0100623e-019f-4443-b775-20ca89bf8c76,,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z,agõng,stem,{'bibliography': 'SIL 2011'},{},agõŋ,['6e8e07f3-28a9-4adb-b230-f819c944b12a'],,
ea_0137227f-4398-4e97-be72-880791a17548,,2020-01-26T04:25:41Z,2020-01-26T04:25:41Z,ea,stem,,{},,['1a7f5cab-b082-42eb-8cac-7781db2f1151'],,
janooh_022d930d-b619-4a77-8ff4-fa5ea30739e8,,2018-07-07T20:57:29Z,2018-07-07T20:58:17Z,janooh,stem,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},jaˈno:h,['9e409799-d500-44e1-97b4-66925497edde'],,
p’aa hẽnh_022f0eb2-2301-40e8-809c-927ccebeff3c,,2018-07-15T20:18:56Z,2019-11-05T20:21:01Z,p’aa hẽnh,phrase,{'bibliography': 'Epps/Obert; fieldnotes 2019'},{},paʔaʔ hẽɲ,['3954f8c6-283b-4e9f-a9b1-5e9ea6096fcc'],,
dajëp_024eb574-aa9a-4bea-adc6-12857406c334,,2018-07-10T00:09:23Z,2018-07-10T00:10:06Z,dajëp,stem,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},daˈjǝp˺,['a8675526-039d-459c-b4c8-c3434645200d'],,
kawa_0431db34-f253-491d-bb2e-bcb885fdcd8d,,2018-07-09T13:45:32Z,2018-07-09T13:46:46Z,kawa,stem,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},kaˈwaʔ,['baa0255c-d216-40c6-9314-c2b8ae598c65'],,
tamab_049f135b-6dbd-4925-9a24-c8006b450d79,,2020-01-25T04:42:32Z,2020-01-25T04:42:32Z,tamab,stem,,{},,['93710c4c-822f-4475-9c65-0f1886aa7db0'],,
sét hẽ_04d14da4-0773-43e5-be7b-25fe3fe7100c,,2018-07-07T17:53:45Z,2018-07-08T18:27:08Z,sét hẽ,phrase,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},ʃɛt hẽʔ,['b76b93ca-1032-4a40-9a95-1031ce3ca8d9'],,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
pɤː_0502685b-1c3b-4176-8f36-aa53edfdebee,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z,pɤː,stem,,{},,['6e73f05f-7a74-4db6-91a1-3ffbedc46d2c'],,
tatiʔ_0585473a-015e-4c8d-8204-f0cdcdef9673,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z,tatiʔ,stem,,{},,['3fb463f2-0bbd-44a1-b4b4-59d3b08d41f2'],,
takɤ̰p_05bff17e-0f67-47a7-8c0f-aaeb5194a218,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z,takɤ̰p,stem,,{},,['f36dee8c-63a9-493d-80bb-eee92d8ec9df'],,
as&apos;aats_0824071b-53d6-41b3-bab0-0acf2fd799c9,,2019-12-04T23:20:22Z,2019-12-04T23:24:02Z,as'aats,root,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},aʃaʔaɟ,['226559e8-a537-42fb-b6fb-91c5c5cb10b8'],,
pewóp hẽ_083be29b-071a-45ec-bd6b-c4935e1ae87b,,2018-07-08T18:25:37Z,2018-07-08T18:26:27Z,pewóp hẽ,phrase,{'bibliography': 'Fieldnotes Epps/ Obert; 2018'},{},peʔˈwɔp˺,['7fbd2f47-c78c-4fd7-9aa5-89ad13550e63'],,
ta h&apos;ëëb tym_084047b3-92cc-4c52-9e72-35d8fc26b60c,,2020-01-26T04:44:48Z,2020-01-26T04:44:48Z,ta h'ëëb tym,phrase,,{},,['bff4efaa-0157-4251-9646-51cb5f9ef8ed'],,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
karejã däk_0b44949c-3fa9-411c-8692-741072299109,,2018-07-07T18:28:24Z,2018-07-07T18:29:21Z,karejã däk,phrase,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},kareʔˈjã dǝk˺,['5e00ef76-a98a-4519-b41f-43937d925e04'],,
suunh_0d700c30-3210-42bd-a56c-3ba9608377a6,,2020-01-26T04:28:20Z,2020-01-26T04:29:19Z,suunh,stem,,{},,['4086f1c6-1520-4c4c-ad78-84beaaa6188f'],,
pʹõõd_10e5af7f-29aa-4fa9-82c9-8ab0dadec296,,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z,pʹõõd,stem,{'bibliography': 'SIL 2011'},{},põ̰:d,['d3963a49-bb42-498c-97c7-95ef55fd557b'],,
wahoo_13c033fc-79eb-4044-b6c6-fd313e1cc0fe,,2019-12-31T13:30:00Z,2019-12-31T13:31:03Z,wahoo,root,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},wa'ho:ʔ,['5f4d52e2-28d5-42f8-9939-5680baefea11'],,
h&apos;ëëb_13ea1f78-fc9e-4be4-b1b9-81ad0d92566c,,2020-01-26T04:44:03Z,2020-01-26T04:44:03Z,h'ëëb,stem,,{},,['2262158e-c8d0-4c92-8ca2-7ce18d3e2fbc'],,
baju_16b9f9ed-0cb5-4df0-b170-cdea3e4efea7,,2018-07-27T20:14:26Z,2018-07-27T20:17:29Z,baju,stem,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},baˈjuʔ,['5f3a89d8-db19-4cc0-9e59-a02da258eaf4'],,
mab_16e3e64e-d991-4ea2-80ce-8e5bd4936d8a,,2019-11-05T19:58:28Z,2019-12-05T23:50:09Z,mab,root,{'bibliography': 'Epps/Obert; fieldnotes 2019'},{},mab,['e22a927a-971f-4a71-a01e-0bd737c7ab03'],,
besas_171ab6eb-239d-4ecb-86b6-7cdc05273f4d,,2018-07-07T18:30:07Z,2018-07-07T18:31:06Z,besas,stem,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},beʔˈʃaʃ],['818c8b67-4e64-40c2-a043-455c37dd89e1'],,
hỹỹd_17b9a0ab-c0cf-4768-beed-778fd716cd37,,2020-01-26T04:53:09Z,2020-01-26T04:53:09Z,hỹỹd,stem,,{},,['be2b913d-d817-452d-b1ad-d459d8d915fb'],,
t&apos;õp_1895b435-ca91-4f37-9a89-e0f3d223f89a,,2019-12-04T23:26:30Z,2019-12-04T23:28:37Z,t'õp,root,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},tʔɔ̃p,['eacb683c-23cd-4617-b02c-de892129d7bf'],,
eaak_1964d648-6289-4ae2-9d69-33428fc10034,,2020-01-26T04:25:00Z,2020-01-26T04:25:00Z,eaak,stem,,{},,['e984ac6b-bc57-4938-88a7-2b5e76c2a831'],,
po̰ːʔ_1a344c25-1fe2-4d38-87ce-a679b8b74d30,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z,po̰ːʔ,stem,,{},,['2013ecbc-5f4a-4cd3-a741-d2c7ae4696b6'],,
éj2_1a421705-bdf9-45d8-97f2-be8d9f17014e,,2019-12-11T18:07:54Z,2019-12-11T18:07:54Z,éj,stem,,{},,['e9007a8c-26bc-4114-af26-066060fd8f3d'],,
kajaa_1c493ee0-7a31-4402-8d70-91241eca359f,,2020-01-25T04:20:41Z,2020-01-25T04:20:41Z,kajaa,stem,,{},,['155f4a09-97b8-4678-b6dc-2301a6110551'],,
makuur_1c99d1e7-ef79-49f2-96cd-c197186797c0,,2020-01-08T15:36:57Z,2020-01-08T15:37:53Z,makuur,root,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},ma'ku:ɾᵊ,['ca73efc1-aa22-46e6-acd6-30be305d8a08'],,
tséén_1cdd302e-4b57-4518-93ba-229137ee3025,,2020-01-25T04:57:35Z,2020-01-25T04:57:35Z,tséén,stem,,{},,['63c8dfd4-1a24-4c33-a7f7-53d74b2506f7'],,
tehub hẽ_1f4cf45c-5f92-4f18-a8c8-eb6ae5db53c4,,2018-07-06T18:50:02Z,2018-07-06T18:51:23Z,tehub hẽ,phrase,"{'bibliography': 'Fieldnotes Epps/Obert; 2018', 'Note': 'not sure if there is a shorter form - hub?'}",{},teˈhub hẽʔ,['23c728ee-f682-4321-a428-e44f46b16f56'],,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
ets’iip_224610c4-9086-404b-a319-cce171760df8,,2018-07-07T17:59:09Z,2018-07-07T17:59:49Z,ets’iip,stem,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},ʔeʔˈtʃiʔip,['113550bd-0759-4e15-b2a5-049956cbc1b5'],,
wahëëh_233ad789-3208-49b8-8e54-1820303e0fd2,,2019-11-05T15:02:46Z,2019-11-05T15:04:15Z,wahëëh,root,,{},[wahɤ̰ːh],['a507ef38-8ad9-40be-b0fd-8a97510e28ce'],,
kajah hẽ_23ed6943-0121-4cb3-9b5b-d96aaedefb90,,2019-12-15T23:04:59Z,2019-12-15T23:05:22Z,kajah hẽ,phrase,,{},kajah hẽ,['e3b80bb8-efad-4e11-ab63-23b15b26de67'],,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
tsananaa_248cffb7-d6e2-42f6-b09c-eee72262937b,,2018-03-08T07:17:53Z,2020-01-08T15:57:35Z,tsananaa,stem,"{'bibliography': 'Epps/Obert; Fieldnotes 2019, SIL 2011'}",{},ɟanana:,['b71f8e84-f4a4-49b2-8f8b-e4e22f4e5fc6'],,
wooh_26bc7f23-fb0b-4d30-93e4-da9a7933066d,,2020-01-08T15:56:00Z,2020-01-08T15:56:29Z,wooh,root,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},wo:h,['d26a30d1-8ec7-493b-83ff-fd7475c88a43'],,
matym_271c9f06-aae1-403d-bc35-a6b34f549f0f,,2018-07-05T14:02:15Z,2018-07-06T19:09:20Z,matym,stem,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},maˈtɨbm,['4dfc33d6-18cb-42d0-ac07-83fa43d80266'],,
s’ỹỹ2_2a862903-6868-4aea-a17b-6c1c40a99ca2,,2018-07-09T13:39:47Z,2018-07-09T13:39:47Z,s’ỹỹ,stem,,{},,['cbfe62a9-8104-4198-b7b9-17425b60f145'],,
baëëng_2bef89e6-e45c-49ac-89ab-899bf8078cb0,,2020-01-25T04:11:52Z,2020-01-25T04:11:52Z,baëëng,stem,,{},,['814b0089-1983-4472-8047-d7c9a99754e7'],,
na4_2df851cc-b722-41ba-aac8-b28779debd8c,,2018-06-20T05:09:54Z,2018-06-20T05:17:30Z,na,stem,{'bibliography': 'Weir 1994'},{},naʔ,['820f1f6f-ab91-45fb-b2aa-b394c9c16188'],,
nɨɨh_2eb06a57-667e-43a7-a53b-9905edcdca8f,,2018-06-20T05:09:54Z,2018-06-20T05:17:30Z,nɨɨh,stem,{'bibliography': 'Weir 1994'},{},nɨːh,['0c4846b7-4573-4682-801a-2970630de455'],,
tamewoob hẽ_2ec250b1-b35b-46d1-b317-a327c67b9182,,2018-07-08T18:24:09Z,2018-07-08T18:26:50Z,tamewoob hẽ,phrase,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},tameʔˈwo:b˺,['ca80116d-2820-40c9-9cb0-b8778d1876e1'],,
p&apos;op_2eeab430-b6af-4141-908e-616e5844e507,,2020-01-26T05:00:58Z,2020-01-26T05:00:58Z,p'op,stem,,{},,['85e81b69-0c58-478f-a54e-ae5200104903'],,
h&apos;yyb_2f99908e-413c-4ac4-a8ab-9594aa555c1d,,2020-01-25T04:49:33Z,2020-01-25T04:49:33Z,h'yyb,stem,,{},,['c59a68a3-0823-4b3a-ae65-8bcbf48e4aaf'],,
tʌːh_30c25497-a03a-44a1-a1e1-9f49cffe7b53,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z,tʌːh,stem,,{},,['03e6f82a-7611-4839-bd55-ca2a21c0f20b'],,
r&apos;ood_31ad6b1c-e5ca-4f2c-b2cb-59c7c5ebb15c,,2020-01-26T04:51:22Z,2020-01-26T04:51:22Z,r'ood,stem,,{},,['6b12f52f-9a52-4e5a-86a0-46ca31bd6ee6'],,
jém_329bfaad-1fba-4ba9-8089-e68eca9d3486,,2018-06-20T05:09:54Z,2018-06-20T05:17:30Z,jém,stem,{'bibliography': 'Weir 1990'},{},jɛm,['96a1f748-5b3d-4976-8903-e1f536a20685'],,
ajat_32eac6de-1dac-4fe7-96eb-afb8fdd8a693,,2018-07-10T15:39:39Z,2019-12-04T23:38:53Z,ajat,stem,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},ʔaˈjat,"['d86d7892-a9dd-4711-bde6-a91c478f0b29', '201a34be-a730-4730-86eb-8fc5fe241de4']",,
hub_330a07e9-0341-422e-93a0-3e745dff7949,,2018-07-07T18:16:04Z,2018-07-07T18:17:16Z,hub,stem,{'bibliography': 'Fieldnotes Epss/Obert; 2018'},{},hub˺,['d2c9ce0b-546e-43b9-a0e7-7e44fd4015d9'],,
???_3380e264-de48-4f53-8584-ddc9431f1ea0,,2018-06-20T02:37:28Z,2018-09-03T23:48:32Z,,stem,,{},,['9d88a4d4-d656-4490-ad88-57316facb4ac'],,"{'hũũt_fcbc9a08-ecac-4e11-b568-cad430854b14': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant', 'hide-minor-entry': '1'}}"
tëëng2_35605a07-6b58-44e8-99f9-29cff15e2bad,,2020-01-26T04:23:17Z,2020-01-26T04:23:17Z,tëëng,stem,,{},,['d5dcdf2f-3e62-4059-9faa-37803eea449d'],,
séh_35b0b0bd-4cdf-4e50-a69e-0effa539fc07,,2019-12-15T22:54:36Z,2019-12-15T22:55:54Z,séh,root,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},ʃɛh,['f2847c3c-5ffc-4f1d-a41f-879104f67293'],,
hawät3_38021475-4b06-4fbf-89f0-bfdce2e8beed,,2020-01-25T04:41:10Z,2020-01-25T04:41:10Z,hawät,stem,,{},,['f5096aa6-8f73-452c-8ea2-1cdb3d95b479'],,
kayah_384cf412-8cb1-41f6-b481-a718b693ffdc,,2018-06-20T05:09:54Z,2018-06-20T05:17:30Z,kayah,stem,{'bibliography': 'Weir 1986'},{},kajah,['d77f95a1-7fb5-4d01-8bb9-fcdac0f24568'],,
j’aah tyd_38868053-3860-4b0c-a196-31868da6d09f,,2018-07-06T20:49:57Z,2019-11-11T00:33:29Z,j’aah tyd,phrase,"{'bibliography': 'Fieldnotes Epps/Obert; 2018', 'Note': '(ta) j’aah tyd'}",{},jaʔah tɨd˺,['0a18fae4-f308-447d-a40d-7f39d3cfecdd'],,
bong_3b1a08a6-8ce9-414f-9bab-545bf69233e7,,2018-06-20T05:09:54Z,2018-06-20T05:17:30Z,bong,stem,{'bibliography': 'Weir 1994'},{},boŋ,['4206a1ef-2c25-4191-bcc9-85cae9d60a8d'],,
nas&apos;aa_3bd6ffae-4a8e-497c-88a9-cf04245cbc73,,2020-01-08T19:28:52Z,2020-01-08T19:30:16Z,nas'aa,root,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},{},na'ʃaʔa,['d921346a-df43-4907-a4f4-94bddd17bb92'],,
p&apos;õõd_3c008e5f-3857-4929-be3f-61619adf7862,,2020-01-26T04:59:10Z,2020-01-26T04:59:10Z,p'õõd,stem,,{},,['7f3d1a32-1922-4b30-bf40-c3670c3c22dc'],,
pãːn_3c54dc3d-a8fb-4e8f-bf74-224ddecc7652,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z,pãːn,stem,,{},,['7e68776b-8660-4a6d-bafa-6fc04b4c9f3c'],,
hawät2_3d56498e-1714-4d02-8a5b-f5e0c8b83b18,,2020-01-25T04:33:53Z,2020-01-25T04:33:53Z,hawät,stem,,{},,['98c1fb97-7b94-455f-bc38-c90678734adf'],,
ajeet_3d73abe6-662f-4c45-aaa2-b369c35d7215,,2019-12-15T23:27:01Z,2019-12-15T23:27:45Z,ajeet,root,{'bibliography': 'Epps/Obert; Fieldnotes; 2019'},{},aje:t,['cd44d40d-2650-453a-b993-291f1a061025'],"{'jeet_220ffd2f-601c-4037-99e5-b77addc9d924': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",
béak_3e844404-4a67-4ffb-9812-e0773a4c342b,,2020-01-26T04:24:06Z,2020-01-26T04:24:06Z,béak,stem,,{},,['e06a3c37-887c-4db8-aa40-2a8a9405b815'],,
hawak_406031f7-243a-44df-ad13-e42e19e06c4c,,2018-07-11T00:06:02Z,2018-07-11T00:06:41Z,hawak,stem,{'bibliography': 'Fiednotes Epps/Obert; 2018'},{},haˈwak˺,['9a35ebb1-3ebd-4a9a-a1ee-fe8ee45c1ee7'],,
ji moo sahõnh hẽ_41b7a6c4-69cb-4c16-82d9-1dbd63a69c12,,2018-07-27T19:48:37Z,2018-07-27T19:49:25Z,ji moo sahõnh hẽ,phrase,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},ji mɔ̃: ʃaˈhɔ̃ɲ ˈhẽʔ,['3b6f5fe3-dce5-49c1-a7b0-7fdc5314b007'],,
doo5_41f16ef0-fc1b-41c2-a6f2-af2c7356d1c9,,2020-01-24T01:58:37Z,2020-01-24T01:58:37Z,doo,stem,,{},,['c7ab11f5-25ef-4e8e-a8a0-09727db10d22'],,
