,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
ʃo_72a73287-e2c7-4dff-9dc7822773c112f,encontrado na cartilha 4; lição 13,2018-03-22T21:11:58Z,2018-03-22T21:11:58Z,ʃo,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'so'},ʃo,['2609dc14-ca0a-4829-8ddc-98006e925d6e'],"{'so_72a73287-e2c7-4dff-9dc7-0822773c112e': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 13'}}",{}
gewʌʃ_7b637ee7-984b-4a3f-81651af25e1fb93b,encontrado na cartilha 4; lição 9,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,gewʌʃ,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'gewäs'},gewʌʃ,['2afc47f2-57a2-452f-97a7-ea21364d0f2c'],"{'gewäs_7b637ee7-984b-4a3f-8165-1af25e1fb93a': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 9'}}",{}
rogada_7c987dc6-5e5e-4d02-bf6650682951c139,encontrado na cartilha 4; lição 3,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,rogada,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'rogada'},rogada,['c903b261-0a4a-40a4-8770-04ed1ff16efa'],"{'rogada_7c987dc6-5e5e-4d02-bf66-50682951c138': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 3'}}",{}
ʃakut_7e862d74-cc61-4b8d-ab418e1fc59c0593,Martins,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z,ʃakut,stem,{'Note': 'Predicted phonemic form from source Martins.'},{'Martins': 'ʃakut'},ʃakut,['f5a8c947-10cb-4a1e-822f-6960f1529e62'],"{'ʃakut_7e862d74-cc61-4b8d-ab41-8e1fc59c0592': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
gẽ:_858f47d7-80ff-4b93-886aa0df148bff9c,encontrado na cartilha 4; lição 16 talvez relacionado com g'ẽẽ?),2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,gẽ:,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'gẽẽ'},gẽ:,['23972b04-5d78-4541-b210-71277fe3b508'],"{'gẽẽ_858f47d7-80ff-4b93-886a-a0df148bff9b': {'type': '_component-lexeme', 'variant-type': ""encontrado na cartilha 4; lição 16 talvez relacionado com g'ẽẽ?)""}}",{}
bana_85922b78-3029-43c8-a2f0eff81b813750,encontrado na cartilha 4; lição 4,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,bana,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'bana'},bana,['67ee527b-5ab8-479f-acf1-a3e34c1f502f'],"{'bana_85922b78-3029-43c8-a2f0-eff81b81374f': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 4'}}",{}
gõ:j_86038736-f33e-4c25-9cbcfc2ad0515d29,SIL Dict 2011,2018-03-08T07:17:52Z,2018-03-08T07:17:52Z,gõ:j,stem,{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},{'Sil Dict 2011': 'gõõj'},gõ:j,['77c89938-b4b1-463d-9659-504f4c8f9ebe'],"{'gõõj_86038736-f33e-4c25-9cbc-fc2ad0515d28': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
bakʌŋ_87ce9273-a96f-4695-a96996fee8d7ef57,encontrado na cartilha 4; lição 13,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,bakʌŋ,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'bakäng'},bakʌŋ,['6374a303-c5e6-4b2b-9b57-c08c18b51916'],"{'bakäng_87ce9273-a96f-4695-a969-96fee8d7ef56': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 13'}}",{}
ka̰:w_8aae375a-cd2c-4685-85d410982a359289,SIL Dict 2011,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,ka̰:w,stem,{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},{'Sil Dict 2011': 'kʹaaw'},ka̰:w,['0232ee51-f686-4845-b786-4fd08f2d420e'],"{'kʹaaw_8aae375a-cd2c-4685-85d4-10982a359288': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
hɔh_8d4bb317-f8b3-4aad-955a878306ba217f,encontrado na cartilha 4; lição 6,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,hɔh,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'hóh'},hɔh,['0b9287cf-a869-45e9-962a-288d71b29ff5'],"{'hóh_8d4bb317-f8b3-4aad-955a-878306ba217e': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 6'}}",{}
