entry_id,status,matches
p&apos;op_2eeab430-b6af-4141-908e-616e5844e507,,"{'po̰ːp1_1182e1e7-7fef-49b6-bd48-861b4aa4f92c': ('po̰ːp', 0.9444444444444444), 'po̰p_663cf027-4684-4541-a231ff7dea821110': ('po̰p', 1.0), 'po̰:p_d7c15097-e7aa-466b-b75bf54b0e2625db': ('po̰:p', 0.9444444444444444)}"
h&apos;yyb_2f99908e-413c-4ac4-a8ab-9594aa555c1d,,"{'h’ëëb_2d2a4415-053e-4b4e-bf26-6a3fb35e5a49': ('h’ëëb', 0.9), 'hɨ̰̃:b_13495014-5582-4f05-84fc3cb0ed8b0ed3': ('hɨ̰̃:b', 0.9545454545454546), 'hɨ̰̃:b_619d57b3-8d4b-4700-b236f85239dd9577': ('hɨ̰̃:b', 0.9545454545454546)}"
jóp_3058b354-3497-4b57-9fa9-605aaa741d02,,"{'jɔ̃ːp2_c56ce826-50e3-4f9b-aef4-29cd0e65913e': ('jɔ̃ːp', 0.875), 'jɔ̃:p_cd1b5ad6-d2f8-4f22-ac9f5ee86062d56': ('jɔ̃:p', 0.875)}"
r&apos;ood_31ad6b1c-e5ca-4f2c-b2cb-59c7c5ebb15c,,"{'ro̰:d_4acc9cdb-de0b-4f94-b9e3ebe14eadfa08': ('ro̰:d', 1.0)}"
sẽẽj_31d20726-ce1f-4f98-a01d-4dabbd5a7721,,"{'sẽẽj2_31d20726-ce1f-4f98-a01d-4dabbd5a7721': ('sẽẽj', 1.0)}"
nadëp_327fc9f7-ee23-4503-bfa4-af3406fd1684,,"{'nadëb1_64797e4a-07d3-4f0b-a899-0a27e395ea25': ('nadëb', 0.9)}"
bedah_3284c240-33c0-4005-86e4-1121b860752b,,"{'edah_ac55eff6-e4fa-45d2-a17d90446273b3f1': ('edah', 0.8888888888888888)}"
w&apos;oor_3430ca49-d3b7-4b34-bff7-96d27c9662e2,,"{'w’oor_3430ca49-d3b7-4b34-bff7-96d27c9662e2': ('w’oor', 1.0), 'wo̰ːɾ2_d7b314a9-7a00-477f-803e-70d2b5f9eef0': ('wo̰ːɾ', 1.0), 'wo̰:_7129100e-d981-4dd4-bc481b86037bb2d5': ('wo̰:', 0.8888888888888888), 'wo:r_987658fd-862d-4798-a95c5b4a299259c6': ('wo:r', 0.9444444444444444)}"
hen n&apos;aa_3500dbaa-46d3-4f60-862d-cd481eb4521e,,"{'he:n na̰:_e00ea0a4-a593-43c3-b339f3933a66bdcb': ('he:n na̰:', 0.9705882352941176)}"
tëëng2_35605a07-6b58-44e8-99f9-29cff15e2bad,,"{'t’ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12': ('t’ëëng', 0.9444444444444444), 'tëëg_b227568f-8dc2-4857-96ad-54678f3975b5': ('tëëg', 0.875), 'tɨ:ŋ_e2b5fecf-076d-455e-afca70e5369e1d23': ('tɨ:ŋ', 0.875)}"
