entry_id,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
sapuuw_37867b30-19ec-4639-8a17-3aa7b67aeaee,Fieldnotes Epps/Obert; 2018,2018-07-15T20:38:10Z,,sapuuw,stem,{},,ʃaˈpu:w,['2048e706-7de4-4538-bc0f-7f1b263c0806'],,{}
tataah_3a4ece63-7d15-430f-a569-fd308bf3fa91,SIL Dict 2011,2018-03-08T07:17:53Z,,tataah,stem,{},,tata:h,,,"{'37d35f87-6a25-4537-9dd5-ce21c1e67f8b': {'type': '_component-lexeme', 'variant-type': 'Plural'}}"
k’ããts_3a94f9ae-6b60-4f40-8241-3d12b67a67be,Fieldnotes Epps/Obert; 2018,2018-07-05T13:48:16Z,,k’ããts,stem,{},,kãʔãɉ,['80053013-c657-44d3-8d22-0da572795c66'],"{'k’ããts tsyg_8ac18045-bd45-4c72-b53f-1a45c1a34510': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Compound'}}",{}
sawasaab _3aea6fec-8942-4caf-ab01-a448e89efaa0,SIL 2011; Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:53Z,,sawasaab,stem,{},,ʃawaˈʃa:b˺,['83d91993-9d85-4caf-a5cc-3b4a6de77067'],,{}
tok ỹỹ_3aee6c29-2602-4601-b146-47cf62c3c463,SIL Dict 2011,2018-03-08T07:17:53Z,,tok ỹỹ,phrase,{},,tok ɨ̃:,,,"{'09da2923-e6d9-40fd-be0d-ddc17b8f36fe': {'type': '_component-lexeme', 'variant-type': '1S Possessivo'}}"
tyb_3bb6a7d0-a26b-4813-80a8-80538d6f0eff,Fieldnotes Epps/Obert; 2018,2018-07-06T19:07:01Z,,tyb,stem,{'Note': 'ta tyb'},,tɨb˺,['0cccebb5-8648-4f42-8d47-a3bb51e8a5d5'],,{}
abaah_3bf47a35-c68f-4f2b-ae4a-3d5fbfc00be2,SIL Dict 2011,2018-03-08T07:17:53Z,,abaah,stem,{},,aba:h,,,"{'fd034ead-ae35-414c-aad2-4b9e0f677a10': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
booj_3c9337be-a478-493e-bed4-c0f035f02c63,Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:53Z,,booj,stem,{},,bo:j,['07ecff83-e944-42d5-b2df-8c6f1b64d368'],,{}
t’õõm_3cdcf804-ed94-4d32-8388-d8ed3cf4b239,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:55Z,,t’õõm,stem,,"{'Weir': 'txõom', 'Martins': 'tɔ̰̃ːm'}",tõʔõm,['5da179b1-99a9-4303-8ff3-6f45db72be24'],"{'txõom_65668337-e2b9-496c-80a9-264d9e8e24a1': {'type': '_component-lexeme', 'variant-type': 'Weir'}}",{}
dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4,SIL 2011; Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:53Z,,dooh,stem,{},"{'Weir': 'dooh', 'Martins': 'doːh'}",do:h,['d5260a10-522d-4ebb-bad3-a7b77381e7c5'],"{'dooh2_f50666b1-7d7e-449a-8205-0cda6a02f920': {'type': '_component-lexeme', 'variant-type': 'Weir'}, 'doːh1_d9caa3ff-06cc-413b-a9c7-398060ef979c': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
