entry_id,bibliography,citation_form,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
awät_94af7d8a-ba5e-4b2b-9ef7-cfa69923b978,Fieldnotes Epps/Obert 2018,wät,2018-03-08T07:17:53Z,,awät,stem,{},"{'SIL Dict 2011': 'Causativo não indicativo: ma wëëd, Ext.(?): wʹëët'}",ʔaˈwǝt˺,"['2c08905d-ed34-4bce-a5d7-9819044844bd', '36e6ef46-3bde-4e2b-b316-156547409325']",,{}
kabë_95545367-b996-4a77-88a4-91898494b4b3,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,kabë,stem,,"{'Sil Dict 2011': 'kabë', 'Barbosa': 'kabəʔ'}",kabəʔ,['1967519c-1401-4d14-95ff-2fec582f47d3'],"{'kabë1_f3f3eac8-03b9-4b3b-be87-4d8a15178bc3': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}, 'kabəʔ_d70c2c74-ace0-4bcf-b320-69051e676ebd': {'type': '_component-lexeme', 'variant-type': 'Barbosa', 'summary': 'quati'}}",{}
mayb_95cb9f80-3207-4f7e-8ca5-f258d4800f3e,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:56Z,2019-01-14T03:46:56Z,mayb,stem,{},{'Sil Dict 2011': 'mayb'},mãʔɨb̚,"['3cfd6cff-7ce9-408e-b125-1b8d1d34329c', '7e16fe29-401f-4e39-85c3-e1d2131c90f1']","{'mayb1_349e4dd8-a1ef-4b14-9928-97ae00ed26e5': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",
ts’ëëg_95dec863-c133-43ea-b839-25af3fbb4312,Fieldnotes Epps/Obert 2018,,2018-07-27T23:14:36Z,,ts’ëëg,stem,{},,tʃ’ǝʔǝg˺,['6da2ae83-6c6f-4e5e-bfc2-f6fac626cd69'],,{}
mariij t’aah_966cdbff-a337-4753-b971-2813b0c4b292,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,mariij t’aah,phrase,,,mãɾi:j taʔah,['3d692d05-a5d4-4fbf-97cd-fb8b731c414b'],,{}
hooj1_96c60cce-1d22-4b41-8ed3-e5948e58cd74,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:56Z,,hooj,stem,,"{'Weir': 'hoonh', 'Cartilhas': 'hoonh', 'Martins': 'hoːɲ'}",ho:j,['2687bc4a-13fc-4ab0-bcf6-d5e7f006ffd1'],"{'hoonh2_22775054-ef71-4a85-93db-90f254baa54f': {'type': '_component-lexeme', 'variant-type': 'Weir'}, 'hõõnh_42868451-c808-4d59-afa0-bd2bce2b61dc': {'type': '_component-lexeme', 'variant-type': 'Cartilhas'}, 'hoonh1_485e1de8-8cfa-4e5a-aa46-f0bc283b8323': {'type': '_component-lexeme', 'variant-type': 'Cartilhas'}}",{}
mỹỹm_97557290-0196-462e-8057-e1ef84dc9ee7,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,mỹỹm,stem,,"{'Sil Dict 2011': 'myym', 'Weir': 'mɨɨm'}",mɨ̃:m,['05914b5d-e8d3-4f1a-8928-e15b2060dffe'],"{'myym_632462d5-0968-40f4-a457-813d01824927': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}, 'mɨɨm2_a2418be7-62d2-404b-8f3e-6ebd2c5de915': {'type': '_component-lexeme', 'variant-type': 'Weir'}, 'mɨɨm1_db9988e2-952d-4c97-9459-82d6e116e782': {'type': '_component-lexeme', 'variant-type': 'Weir', 'summary': '1994; axe'}}",{}
jabaruut_97730e1c-4b00-42dd-bf5f-ae67b93de788,Fieldnotes Epps/Obert 2018,,2018-07-27T20:12:07Z,,jabaruut,stem,{},,jabaˈɾu:t,['ef54e133-d197-4f71-bea1-8cd979b41d6c'],,{}
kamarab_9834bf06-b6ae-4946-9bdc-ee67fec8e3be,Fieldnotes Epps/Obert 2018,,2018-06-20T05:09:54Z,,kamarab,stem,{},,kamãˈɾab˺,['714da4b2-e9d1-4e5a-bb4e-81c73526b361'],,{}
adëëh hỹng_989b21e0-acb9-4328-a6ee-5a7508189a0a,Fieldnotes Epps/Obert 2018,dëëh hỹng,2018-03-08T07:17:53Z,,adëëh hỹng,phrase,{'Note': 'hỹng necessary?'},,ʔaˈdǝ:h hɨ̃ŋ,['d0ea0e92-b63d-499e-a71b-8d214de7f646'],"{'hyng_db4ae79c-798a-4209-b026-517e5edf7160': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",{}
nuuh_98b2fa13-5514-4958-bbe6-86001f73c6a4,Fieldnotes Epps/Obert 2018,,2018-07-06T20:35:56Z,,nuuh,stem,{},{'Martins': 'nũːh'},nũ:h,['24d94776-3f11-4a63-8f57-f8537609dd72'],"{'nũːh_ba8e92bb-bb4e-4c35-8130-8f8904c855b7': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
ji tsyym suun_99af168e-828f-4a70-a764-469f0957ad9d,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,ji tsyym suun,phrase,,,jiʔ tʃ'ɨ:bm ʃu:dn,['92afd846-b8a6-46a9-9bb3-2bdc197010c9'],,{}
jewa_9c0cf6aa-efa5-4b29-8d85-d6352dab56a2,Fieldnotes Epps/Obert 2018,,2018-07-09T13:47:11Z,,jewa,stem,{},,jeʔˈwaʔ,['10bef4c5-594e-483b-87a7-dfbe9a7b3d95'],,{}
kasẽẽt_9ccc8900-65aa-408d-a918-f8282939f9b9,Fieldnotes Epps/Obert 2018,,2018-03-08T07:17:53Z,,kasẽẽt,stem,{},,kaˈʃẽ:t˺,['de8a5987-7c8e-4ab1-a9fa-afd1d4df7948'],,{}
masoo_9ce33e0d-aa4c-444b-921e-bcdca4f98778,Fieldnotes Epps/Obert 2018,,2018-07-10T13:14:20Z,,masoo,stem,{},,maˈʃo:ʔ,['24056053-8f89-4c76-a5ae-c457f3c22db0'],,{}
ee t’aah paah_9d0d4be9-51f3-4cda-8783-9f2d038d68c1,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,ee t’aah paah,phrase,{'Note': '[pai-filho-PASS; 2 irmões gemeos]'},,ʔe:ʔ taʔah pa:h,['1c9fe5f0-3be0-4d20-8342-30828a0d37c7'],,{}
ä̃nh_9d9c4409-ab43-42d2-9381-3d54485636ca,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:56Z,,ä̃nh,stem,,"{'Martins': 'ʔʌ̃ɲ', 'Barbosa': 'ʔãːɲ'}",ʔʌ̃ɲ,['6a6e4936-71ba-4ebc-8204-0a68661a9b3b'],"{'ʔʌ̃ɲ_747ec3c6-e1ec-454b-a23b-043d66e7611b': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
hapäh_9e969d72-f8b2-48ba-83ac-3472669f4a98,Fieldnotes Epps/Obert 2018,,2018-03-08T07:17:53Z,,hapäh,stem,{},,haˈpʌh,"['87c6f66a-3872-4977-bada-eb6b026a7266', '47d31671-ecf0-47b4-a4d0-be26e05167f3', 'd9d59f38-a96d-465b-a528-6b512bf0bd61']",,{}
syyj_9f339257-1bc7-4ea1-897f-ad0099dbb709,Fieldnotes Epps/Obert 2018,,2018-07-05T14:12:40Z,,syyj,stem,{},,ʃɨ:j,['8dba5f05-3bc0-435d-9dd5-dde7ea11c2e6'],,{}
sigõõh_a0ff43b0-a745-4f28-a13b-b693eab760a5,Fieldnotes Epps/Obert 2018,,2018-07-08T17:08:13Z,,sigõõh,stem,{},,ʃiˈk’ɔ̃:h,['7322fb76-b62e-4454-8e73-57a5c701cce0'],,{}
tsabud_a11cacd5-6a89-4610-a116-102feb4799f7,Fieldnotes Epps/Obert 2018,,2018-07-27T22:43:21Z,,tsabud,stem,{},{'Martins': 'ɟabud'},,['93baf37f-6deb-47a4-b509-4d183d5e9024'],"{'ɟabud_c59dda44-a224-4265-8c63-5a694be26e01': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
kajamaah_a1977c14-2ca4-4b0e-b40a-5f0653e2e6c0,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,kajamaah,stem,,,kajabmã:h,['89db112b-23a7-480c-bd7d-4e4666902cac'],,{}
saramah?_a2519fe9-0a2c-4903-bc8e-dfcd093afe4e,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,saramah?,stem,,,ʃaɾabmãh,['79383229-00b4-4a3d-9e07-12b9c9180b6c'],,{}
nag’aad_a2653c1c-526b-4da1-aaeb-c2f393797942,Fieldnotes Epps/Obert 2018,,2018-07-10T23:44:24Z,,nag’aad,stem,{},{'Barbosa': 'naga̰ːd'},nãʔk’aʔad˺,['44a8503d-b792-47fe-9d9f-64d99e2033c5'],"{'naga̰ːd_00bdbea3-65ff-4c88-bb09-064fdb77ec72': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{}
ganapog_a26b08ff-079c-493f-b809-9f9d8b7d9474,Fieldnotes Epps/Obert 2018,,2018-07-07T20:55:06Z,,ganapog,stem,{},,k’anaˈpog˺,['5988c52b-c4a7-40a0-878d-df06c0a3a6f1'],,{}
ajäm_a28f3a39-1a03-4329-9382-9bab24145953,Fieldnotes Epps/Obert 2018,jäm,2018-03-08T07:17:53Z,,ajäm,stem,{},{'SIL Dict 2011': 'Plural: ajʹëëm'},ʔaʔjʌbm,['1eb1e4d9-e6bc-4cd0-95df-bda85e527332'],,{}
jawii_a2ec988a-b045-49a0-8f4c-f240b2ebbe7d,Fieldnotes Epps/Obert 2018,,2018-03-22T21:33:43Z,,jawii,stem,{},,jaʔˈwi:ʔ,['25e8d112-6ab9-4a75-ad19-cf3922cb1bea'],,{}
