martins,gloss,pos,barbosa,note
toːɲ,estar sentado (pl to̰ːɲ),v,,
tɔ̰̃ːm,cesto,n,,
tũːʔ,solo,n,,
tuɟ,espécie de formiga,n,,
tuʔ,esteio,n,,
tɯ̰ːŋ,anta,n,,
tʌːh,bem assado,?,,
tʌ̰ːh,tapuru,n,,
wahɤ̰ːh,velho (pl wahɤh),?,,
wapad,espécie de peixe,n,,
wɛm,espécie de árvore,n,,
wɛ̃m,esticar,v,,
wɤːj,espécie de cobra,n,,
wɤːʔ,mato caído,n,,
wɤʔ,céu,n,,
wiːʔ,pêlo,n,,
woːɾ,espécie de árvore,n,,
wokã̰ːn,irmão mais novo (pl wokãːn),n,,
wɔ̃ːt,abeirar,v,,
wɔːw,espécie de cipó,n,,
wɯːw,tocandira,n,,
wʌ̰ːk,amarelo,n,,
wʌːɲ,ir para o porto (pl wʌ̰ːɲ),v,,
wʌːʔ,espécie de árvore,n,,
ʔagɔp,buscar água,v,,
ʔajɯːʔ,homem (pl ʔajɯ̰ːʔ),n,,
ʔaɾuːm,espécie de banana,n,,
ʔaʃop,fique sentado!,v imp?,,
ʔaʃɔ̰p,Fique quieto!,v imp?,,
ʔawog,seu abdômen,n,,
ʔɛɟɔːh,florescer,v,,
ʔɯm,ficar,v,,
ʔɯm,esperar,v,,
