mabaa jxaa,mãba:ʔ ja̰:ʔ
jukiir  muun nu gahõn Muun  pedaços no mar  pedaços,juki:ɾᵊ  mũ:n nũʔ k'ahõn Mu:dn  pedaçoʃ nõʔ mãɾᵊ  pedaçoʃ
kejëm doo,kejəbm do:ʔ
gatoj,k'atoj
sxoow,ʃo̰:w
karaba,kaɾabaʔ
jarakë,jaɾakəʔ
mawããd bëëh,mãwã:d̚ bə:h
sóh tyym,ʃɔh tɨ:bm
betoo,beto:ʔ
karããj tyd de karããj tyd me ji metyy,kaɾã:j tɨd̚ deʔ kaɾã:j tɨd̚ mẽʔ jiʔ mẽtɨ:ʔ
ji adyyk,jiʔ ʔadɨ:k̚
dxuuj,dṵ:j
gawajaah,k'awaja:h
harxëëng,haɾə̰:gŋ
kanapiih,kadnãpi:h
kuuj  ëk,ku:j  ʔək̚
ehë̃p bebuu kóm de tem,ʔehə̃p̚ bebu:ʔ kɔbm deʔ tebm
wooj tëëng,wo:j tə:gŋ
japũũn,japũ:n
masook,mãʃo:k̚
ji etook doo hood,jiʔ ʔeto:k̚ do:ʔ ho:d̚
ji etook doo,jiʔ ʔeto:k̚ do:ʔ
sẽẽj,ʃẽ:j
kajahaar,kajaha:ɾᵊ
harum,haɾubm
hetsyyd doo,heʔtʃɨ:d̚ do:ʔ
pxyym,pɨ̰:bm
napits  peneira   jaré taah,nãpiɟ̚  pednẽʔiɾaʔ   jaɾɛʔ ta:h
tatsëë,taʔtʃə:ʔ
gasoom,k'aʃo:bm
jood  matapi ,jo:d̚  mãtapiʔ 
kakuur p marakaw nahëëh p,kaku:ɾᵊ p̚ mãɾakaw nãhə:h p̚
mabaah,mãba:h
jook,jo:k̚
ỹỹn,ʔɨ̃:n
yb,ʔɨb̚
hỹỹj,hɨ̃:j
mais  ,mãʔiʃ  
ä̃nh,ʔʌ̃ɲ
mais  ,mãʔiʃ  
tio kad,tiʔoʔ kad̚
óng,ʔɔgŋ
gód,k'ɔd̚
kaat,ka:t̚
marido da tia m ,mãɾidoʔ daʔ tiʔaʔ m 
do tio p  hỹỹj,doʔ tiʔoʔ p̚  hɨ̃:j
ä̃nh,ʔʌ̃ɲ
jxooh,jo̰:h
jxooh,jo̰:h
jxooh,jo̰:h
