entry_id,matches,def
soog_249fa31d-fe1c-46ef-a586-8da434b2d806,"{'cug_96302045-3340-4193-98f54d19048d0d49': ('cug', 'espécie de planta'), 'co̰:g_9e1ed034-5c26-4a40-a9ed6952de801cd3': ('co̰:g', 'cipó.sp'), 'sog_80913b3d-28ba-4da4-8c82-93874db73850': ('sog', 'niece;sobrinha')}",feather.headdress;cangatara
kamaan1_258400ae-3889-4708-a9d9-74aa043e8bbd,"{'kawã:n_b2161ae4-e32b-4e83-b30865961453d022': ('kawã:n', 'aracu')}",beans;feijão
juum_288ff678-6dc5-4fc1-961d-0886a4bc84a4,"{'jo:m_eb5c00b0-2af8-40ce-b71faab109532ced': ('jo:m', 'plantação; planta')}",vine;cipó
h’yyw_2ad3994d-6998-48ff-ad86-411a9a67558b,"{'hə̰:w_1925e868-c252-4c83-b71133d6d98f1f6a': ('hə̰:w', 'caiarara'), 'hḭ̃:w_1b5889d9-62f6-4a22-b429fbaee69d90ce': ('hḭ̃:w', 'som de quebrar'), 'hɨ̰̃:w_d2f0e9be-4c7f-41dc-960b912373df7380': ('hɨ̰̃:w', 'o que não presta mais')}",achiote; Bixa orellana;urucum; Bixa orellana
kad3_2bb9853a-cde8-48bc-bb30-42d80bf6419d,"{'kaat4_2f663e30-e5e2-4436-aa3a-06247ad235b6': ('kaat', 'mat.aunt;tia materna'), 'kaan_7614d499-7ba2-4fe8-8764-704e13c61d5f': ('kaan', 'cacao;cacau'), 'kã̰:d_0e39e610-eab0-434f-95dba602eca2041e': ('kã̰:d', 'terra'), 'kʌn_b741c8ef-a073-4471-bcae5183a264d68': ('kʌn', 'DM'), 'g&apos;aad_ea94d6c7-c31e-417e-a17f-4f560dc6bffa': (""g'aad"", 'headwater;cabeçeira'), 'kën_6f5b9df8-599e-4700-8e19-161b33fa21a9': ('kën', 'INCHO;INCO')}",pat.uncle;tio paterno
h’ëëb_2d2a4415-053e-4b4e-bf26-6a3fb35e5a49,"{'hëp_f26a22e6-6630-411c-8f0f-240d649e6f57': ('hëp', ''), 'hɨ̰̃:b_13495014-5582-4f05-84fc3cb0ed8b0ed3': ('hɨ̰̃:b', 'peixe')}",chest;peito
kanés g’aad_2ee0c600-0fc1-45ee-803e-4332e97219c8,"{'kanés gʹaad_338788c5-1d3d-44d0-a465-c5ff6230dc7d': ('kanés gʹaad', 'carana.leaf;folha;caraná')}",roof.thatch.palm;caraná
kaat4_2f663e30-e5e2-4436-aa3a-06247ad235b6,"{'kad3_2bb9853a-cde8-48bc-bb30-42d80bf6419d': ('kad', 'pat.uncle;tio paterno'), 'kã̰:d_0e39e610-eab0-434f-95dba602eca2041e': ('kã̰:d', 'terra'), 'gə:t_80dd9aea-7e89-4714-a295f1bddb8ebddb': ('gə:t', 'apertar'), 'g&apos;aad_ea94d6c7-c31e-417e-a17f-4f560dc6bffa': (""g'aad"", 'headwater;cabeçeira')}",mat.aunt;tia materna
mä_2fbb0d64-ddd8-486d-a94a-5e6d3a1db9fc,"{'wëë_aa8555ee-bca6-4074-a9cd-061cb1c06ff5': ('wëë', 'alligator;jacare'), 'wë3_d683ed0f-5336-42bd-973a-dd2b94750fd0': ('wë', 'sky;céu'), 'ma_4264a5f5-d297-4c5e-9ce680ae7193474b': ('ma', 'pertences'), 'wʌ:_8959362b-3825-4848-9eba1c72cb36d5d5': ('wʌ:', 'espécie de árvore'), 'bʌ_8df25412-204a-46bc-a7873ef67101e1ce': ('bʌ', 'na.frente'), 'wə:_9485bb49-c230-459f-b30e231a60b19151': ('wə:', 'mato caído'), 'wə_a802edee-a71f-41cf-b15a48d2cd10f3e6': ('wə', 'ao.lado'), 'ma_d9520bd1-d3cc-41e0-a4b4ca44534c821a': ('ma', 'make'), 'bëh_59d8bf5a-dd20-44e8-b7a9-5081bab044ae': ('bëh', '2PL;2PL'), 'mäh_63073248-c558-4fc1-8f4c-63527c9e11c7': ('mäh', 'RPT;relatado (abreviação?)')}",ucuqui;ucuqui
sẽẽj2_31d20726-ce1f-4f98-a01d-4dabbd5a7721,"{'ʃɛ̃ɲ_be21c4df-a499-4845-8c0511cf77d20d3f': ('ʃɛ̃ɲ', 'branco')}",tapioca.starch;goma
õm_31f249cf-2b84-428d-8cd9-657c8d35e6f4,"{'oow2_d04af342-ffb6-4ca8-806b-a630870f74ee': ('oow', 'grandfather;avô'), 'ub_73c90a3f-cfeb-471d-ae53-3c6573e4e5ec': ('ub', 'INTS;INTS')}",2SG;2SG
wäng_32c1318b-5ca9-4b72-a7b9-e465bcd32c3a,"{'mäh_63073248-c558-4fc1-8f4c-63527c9e11c7': ('mäh', 'RPT;relatado (abreviação?)')}",seje.palm;patauá
gó_32db9835-81bc-4809-83fb-6b662dc0682a,"{'go:_335d28a8-83a8-4e3e-9f342756b1b9ea7b': ('go:', 'arrancar'), 'gɔ̰̃:_3d7b5908-83e6-4232-ad557eb73347179c': ('gɔ̰̃:', 'macaco-prego')}",in;dentro
hub_330a07e9-0341-422e-93a0-3e745dff7949,"{'hop_4b4b4a7f-c3b7-42b3-973b26c02b2531d': ('hop', 'banhar-se (n.i. hob)')}",right;direito
k’ëë_33265ec6-c2f0-40d5-a1eb-edc43610b9ea,"{'gə:h_94b140c8-32b8-4618-846e6d093fbdb67e': ('gə:h', 'be.sweet'), 'kyyh_abaed6a6-acab-4bad-9909-83f48cf3c884': ('kyyh', 'speech;fala')}",bone;osso
kanés gʹaad_338788c5-1d3d-44d0-a465-c5ff6230dc7d,"{'kanés g’aad_2ee0c600-0fc1-45ee-803e-4332e97219c8': ('kanés g’aad', 'roof.thatch.palm;caraná')}",carana.leaf;folha;caraná
w’oor_3430ca49-d3b7-4b34-bff7-96d27c9662e2,"{'wo:r_987658fd-862d-4798-a95c5b4a299259c6': ('wo:r', 'espécie de árvore'), 'w&apos;oor_3430ca49-d3b7-4b34-bff7-96d27c9662e2': (""w'oor"", 'owl;coruja')}",owl;coruja
kawajad2_36b45174-a9b6-440b-b816-1d552c94f171,"{'kawajããn_afa28d54-abe7-4f7e-8f88-3198bb0aa7ca': ('kawajããn', 'be.angry;ser.bravo')}",deer;veado
k’ããts_3a94f9ae-6b60-4f40-8241-3d12b67a67be,"{'ga̰c_07f4b7eb-2a95-4855-9a4d8837b5a4006f': ('ga̰c', 'areia')}",soil;terra
tyb_3bb6a7d0-a26b-4813-80a8-80538d6f0eff,"{'tɨ:p_13f20b79-cfed-486c-8791fb295eb27378': ('tɨ:p', 'lay.egg')}",egg;ovo
booj_3c9337be-a478-493e-bed4-c0f035f02c63,"{'mu:ɲ_35d0254a-73e3-4fbc-8f5995f2104a384': ('mu:ɲ', 'rolinha'), 'bu:j_54613d00-08ea-44ed-b99659610ba3cac7': ('bu:j', 'feitiço'), 'boj_c23a0ba2-7d0a-4ada-838e7864cf0a7b9d': ('boj', 'pênis')}",traira.fish;traíra
t’õõm_3cdcf804-ed94-4d32-8388-d8ed3cf4b239,"{'dõm_821df784-fbcb-40de-a505-a26f965d09ed': ('dõm', 'tail;rabo'), 'do̰:b_47303514-3cb9-4b25-89cd865353c9646b': ('do̰:b', 'japó'), 't&apos;õõm_6945fd07-f2f1-4af1-a00a-c25ab150e2a3': (""t'õõm"", 'woven.traditional.backpack;panacu'), 'tõm_9c34cae8-d703-4bd1-b57d-7a96c6a5281a': ('tõm', 'drop;gota')}",disposable.basket;cesto.descartável
