headword,ipa,entry_id,matches
hõm,hõm,hõm_4a712cc3-64f7-4370-a697-8992d4110af5,"[('õm', 'õm_31f249cf-2b84-428d-8cd9-657c8d35e6f4', 0.8571428571428571), ('ahõm', 'ahõm2_558e9afc-9ba2-4539-a7f6-4f97c105a800', 0.8888888888888888)]"
rʹood,ro̰:d,rʹood_4acc9cdb-de0b-4f94-b9e3-ebe14eadfa07,"[('lxood', 'lxood_6014263a-2bf5-4bc5-9ea3-0189c7dd05cb', 1.0)]"
ɾṵːɲ,rṵ:ɲ,ɾṵːɲ_4ae8608d-42ec-4b15-b5f6-62cf14285128,"[('ɾuɲ', 'ɾuɲ_c78e3c36-0f7b-4e27-ae42-5391ecaa33b0', 0.875)]"
petsʹyyt,petʃɨ̰:t,petsʹyyt_4aef1e79-faa6-48c5-9b25-917643b48366,"[('ɟɯ̰ːd', 'ɟɯ̰ːd_39590426-26b6-4758-88c2-a6b59247e283', 0.9166666666666666), ('getsʹyyt', 'getsʹyyt_d4cda079-ada5-4609-b46f-a33588cca221', 0.875), ('hetsʹyyt', 'hetsʹyyt_086f87aa-bef9-4eb9-9776-4bf5d409a57d', 0.90625)]"
nxoo,no̰:,nxoo_4b7dce3a-006c-458c-ba0c-bb5e1c53defd,"[('noo', 'noo_fd121132-52a5-48ea-bd08-47e6db5af53b', 0.9285714285714286), ('nooh', 'nooh_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943', 0.875)]"
esĩĩn,eʃi:̃n,esĩĩn_4c031899-2d3d-4fe6-819a-76005cb92d76,"[('sĩĩn', 'sĩĩn_bef46c0d-3efb-4cc7-b2c4-1a829fc17d96', 0.9)]"
hadʹyyk do,hadɨ̰:k do,hadʹyyk do_4c8177bb-2375-4df9-9160-25cf0798c70f,"[('doo', 'doo4_8f96a134-db02-4580-a0d5-0599f0a181e1', 0.9), ('doo', 'doo3_b37dc192-f0fc-4fc4-acf9-e4423cdd81e1', 0.9), ('doo', 'doo2_53082cdc-d65b-4949-9404-3a47fd80f8b5', 0.9), ('doo', 'doo1_96f3879f-cf4c-469d-ac46-4a89f9d8374d', 0.9)]"
gasoom,gaʃo:m,gasoom1_4cbf1e75-3511-49fe-a915-2400ecd03edc,"[('gasoom', 'gasoom2_1c16d365-be77-4968-953b-7db5ca036d79', 1.0), ('sóóm', 'sóóm_fd2f84a4-1299-4c5e-92f2-d44f1681cf10', 0.875), ('soo', 'soo1_8d4ce206-887a-448d-a7db-8239d7cbeccf', 0.8571428571428571), ('ʃoːʔ', 'ʃoːʔ_634a34c1-ac25-46b2-88d0-2498c1253e6f', 0.8571428571428571), ('esoom', 'esoom_643f0104-b9a7-4133-b4f9-46670305d01e', 0.8888888888888888)]"
kewëëm,kewə:m,kewëëm_4dcaecdc-f430-42e3-8fe0-3845200ac299,"[('wëë', 'wëë_aa8555ee-bca6-4074-a9cd-061cb1c06ff5', 0.8571428571428571), ('wɤːʔ', 'wɤːʔ_9485bb49-c230-459f-b30e-231a60b19150', 0.8571428571428571), ('wëm', 'wëm_429bd290-09e2-451d-876e-1e9f8f1d97e2', 0.9285714285714286)]"
jawyk,jawɨk,jawyk_4e1f40a1-8c39-45c3-86b9-92a152d8e952,"[('wɨk', 'wɨk_ae9733f8-5392-4f65-9a45-e0b93ea9affd', 1.0), ('jawëk', 'jawëk_11b99d8c-9b68-4e6b-869d-e3530425e72b', 0.9)]"
