form,match_form,def,match_def,status,entry_id,match_id
wëë,ma,alligator;jacare,make,ignore,wëë_aa8555ee-bca6-4074-a9cd-061cb1c06ff5,ma_d9520bd1-d3cc-41e0-a4b4ca44534c821a
ooj,ju,ash;cinzas,fogo,ignore,ooj_abc3063b-7d75-430c-9300-005e926c6475,ju_268efbd6-8e22-4f0a-b085761f16553758
wajats,wajats,manatee;peixe-boi,manatee;peixe-boi,merge,wajats2_ad8e1685-a540-42c7-a1a6-345f1d62a409,wajats_ad8e1685-a540-42c7-a1a6-345f1d62a409
awëh,awäng,eat;comer,grow;crescer,ignore,awëh_ad9e6c80-0862-401d-9958-6bba1d783910,awäng_bf428c83-f99e-46c5-9eda-3733b60a7d09
gód,gód,mat.uncle;tio materno,mat.uncle;tio materno,merge,gód2_afb44df8-075a-40c9-8eed-b4be294caa89,gód_afb44df8-075a-40c9-8eed-b4be294caa89
ỹ,ɨh,,sleep n.i.,ignore,ỹ_acdb0c0b-2c0f-454f-91d1-eea4498bebf7,ɨh_75c83f39-6f85-4520-ac431d873a3fc10
ỹ,ỹỹ,,1sg;1sg,karol’s opinion – two entries (long is possessive),ỹ_acdb0c0b-2c0f-454f-91d1-eea4498bebf7,ỹỹ_b5117bd5-2007-42dc-8931e60f4bb08b71
agä,akə:,lie.in.hammock;deitar.rede,enterrado,ignore,agä2_b43dfe1e-4d9c-44c4-966b-7cdca5ef5b85,akə:_46f2c675-ccd1-4908-8693cea8ae7dc036
 =kóm, =kóm,root;raiz,thigh;coxa,merge senses, =kóm1_b4ef6f78-08bb-4d23-9cba-f68a176930c7, =kóm2_c8ff3ede-cd52-435e-aa16-b8e6ad9ac937
j’aa,jʌ:,faeces;fezes,espécie de fruta,ignore,j’aa_b7a0d5d6-dde2-42b6-ab7b-0d0db44ad378,jʌ:_1616cced-2437-4bb6-b9cc463ba48ec04c
j’aa,jə:,faeces;fezes,close,ignore,j’aa_b7a0d5d6-dde2-42b6-ab7b-0d0db44ad378,jə:_2c080526-9fce-432c-a1b147f3bcf43968
j’aa,jə:h,faeces;fezes,return n.i.,ignore,j’aa_b7a0d5d6-dde2-42b6-ab7b-0d0db44ad378,jə:h_d594696f-9f99-4a8a-bf42436ae849f0c6
mapah,mabëng,papaya;mamão,green.acouchi;cutiara,ignore,mapah1_b822e839-8c6d-40df-b269-0a5a65773509,mabëng_c197d537-44e1-4a6f-abe7-fa15aead02e7
ehãm,ehab,sharp;amolado,scrape.manioc;raspar.mandioca,ignore,ehãm_b8594aa4-2eff-46d6-be59-412a2bc8c629,ehab_e92f47c7-413d-4a3d-8c1f-019ff0dd12ed
sëh,s’ëëh,coals;brasa,dream;sonho,ignore,sëh_b9ee0750-e9ca-42a4-b61c-4fb14998e2c4,s’ëëh_c2500249-3e46-4056-8e86-6d258b177a45
sëh,tsäng,coals;brasa,clay;barro,ignore,sëh_b9ee0750-e9ca-42a4-b61c-4fb14998e2c4,tsäng_c466f8d0-c63e-4dce-83d9-8000648a6ee9
sëh,ʃa:h,coals;brasa,sobrinho (pl ʃa̰ːh),ignore,sëh_b9ee0750-e9ca-42a4-b61c-4fb14998e2c4,ʃa:h_5b3da68a-6968-434c-b4b07f6f03dba96b
sëh,ʃa:h,coals;brasa,be.hungry,ignore,sëh_b9ee0750-e9ca-42a4-b61c-4fb14998e2c4,ʃa:h_6e02a210-1c01-428c-a1b3d6080453fb64
sëh,ʃə:,coals;brasa,camarão,ignore,sëh_b9ee0750-e9ca-42a4-b61c-4fb14998e2c4,ʃə:_77981701-bff1-498b-a88bf2ff0d46a7a3
sëh,sa,coals;brasa,3PL.POSS;3PL.POSS,ignore,sëh_b9ee0750-e9ca-42a4-b61c-4fb14998e2c4,ʃa_9258a56c-b681-4637-922dc15c3cc4d778
tsʹooh,soo,flower;flor,woodpecker;pica-pau,ignore,tsʹooh_ba2c8ff0-d117-4d2f-bb75-32e1760fe9de,ʃo:_8d4ce206-887a-448d-a7db8239d7cbecd0
tsʹooh,ʃɔ̰:,flower;flor,estar sentado,ignore,tsʹooh_ba2c8ff0-d117-4d2f-bb75-32e1760fe9de,ʃɔ̰:_8d669ad1-8a35-4d91-bda3160c4dbf2672
pud,puud,kapiwaya;kapiwaya,song.dabucuri;canto.dabucuri,karol only has short – need to look @ recording to be sure,pud_bc1dd6d3-4e78-41a7-888f-9200c232f3bc,puud_6aac88b8-8517-4460-9bb1-0a8642d54dab
pëëw,p’yym,loincloth;tanga,curare;curare,merge,pëëw_bc51e1f0-68ce-4051-b925-7b7eef2ce693,p’yym1_c58f3f30-b24e-49b3-89c7-a8dbbcc5fc5b
pëëw,bə:w,loincloth;tanga,espécie de cobra,ignore,pëëw_bc51e1f0-68ce-4051-b925-7b7eef2ce693,bə:w_972164d7-37ea-414b-a588f329a9ce02f9
pëëw,pə:w,loincloth;tanga,espécie de árvore,ignore,pëëw_bc51e1f0-68ce-4051-b925-7b7eef2ce693,pə:w_afd1d56f-ca8f-4cca-9561cec36292ec9e
pëëw,paam,loincloth;tanga,REMOT.PAST;PASS.REMOT,ignore,pëëw_bc51e1f0-68ce-4051-b925-7b7eef2ce693,paam_507b60c0-f8bd-4deb-87bd-f5e13faedf4a
pëëw,pyym,loincloth;tanga,snake.poison;veneno.cobra,ignore,pëëw_bc51e1f0-68ce-4051-b925-7b7eef2ce693,pyym_48a754db-ea05-4440-bcad-eec33e19477e
s’oow,s'oow,blowgun;zarabatana,blowgun;zarabatana,merge,s’oow_bd149bf3-7f4c-42b9-901c-045655c034c8,s&apos;oow_bd149bf3-7f4c-42b9-901c-045655c034c8
pooh,po̰:h,nose;nariz,roça,ignore,pooh_bdd27c96-ea96-4676-845e-c97461c4e435,po̰:h_0978090e-f818-4a26-b58cf420dbef4260
pooh,bɔ:h,nose;nariz,sobrinha,ignore,pooh_bdd27c96-ea96-4676-845e-c97461c4e435,bɔ:h_39fbb0d2-2f48-4e16-85622d552408a467
pooh,puh,nose;nariz,espuma,ignore,pooh_bdd27c96-ea96-4676-845e-c97461c4e435,puh_57bb72df-4cf6-4402-bd614bed152962c1
pooh,bo:h,nose;nariz,mistura para coca,ignore,pooh_bdd27c96-ea96-4676-845e-c97461c4e435,bo:h_6a7b644a-7672-4290-94f54f812ad24773
pooh,pɔ:,nose;nariz,nariz,merge,pooh_bdd27c96-ea96-4676-845e-c97461c4e435,pɔ:_abd72bf1-41ab-46d9-8ee89d92b5dc1616
pooh,puh,nose;nariz,peixe.sp,ignore,pooh_bdd27c96-ea96-4676-845e-c97461c4e435,puh_e25be93c-0c6b-462c-8c1d846391d9cb7e
pooh,pṵ:h,nose;nariz,espécie de árvore,ignore,pooh_bdd27c96-ea96-4676-845e-c97461c4e435,pṵ:h_f3f47438-a4db-4f2e-96e195798984f94
pooh,p’ooh,nose;nariz,hot.pepper;pimenta,ignore,pooh_bdd27c96-ea96-4676-845e-c97461c4e435,p’ooh_8351b529-6dec-4374-bbcc-30b2cb59847d
ỹỹm,ɨm,wife;esposa,ficar,ignore,ỹỹm3_be33ca3b-f6a1-4066-b50a-97e305ec90bb,ɨm_73d74d6f-08f3-463a-adc337a43c4c0787
ỹỹm,ɨ̃:m,wife;esposa,fear;ter.medo,ignore,ỹỹm3_be33ca3b-f6a1-4066-b50a-97e305ec90bb,ɨ̃:m_b7f8608c-1aaa-4014-b04d968cde2f7f88
ỹỹm,ỹỹm,wife;esposa,esposa,merge,ỹỹm3_be33ca3b-f6a1-4066-b50a-97e305ec90bb,ỹỹm1_c5454b3c-10c6-4bf4-936d-38c30dd989de
tsʹaa,s’ëëh,stingray;arraia,dream;sonho,ignore,tsʹaa_be6ef049-4a0b-4431-ade9-063237e7fde5,s’ëëh_c2500249-3e46-4056-8e86-6d258b177a45
tsʹaa,ʃa:h,stingray;arraia,sobrinho (pl ʃa̰ːh),ignore,tsʹaa_be6ef049-4a0b-4431-ade9-063237e7fde5,ʃa:h_5b3da68a-6968-434c-b4b07f6f03dba96b
tsʹaa,ʃa:h,stingray;arraia,be.hungry,ignore,tsʹaa_be6ef049-4a0b-4431-ade9-063237e7fde5,ʃa:h_6e02a210-1c01-428c-a1b3d6080453fb64
tsʹaa,ʃə:,stingray;arraia,camarão,ignore,tsʹaa_be6ef049-4a0b-4431-ade9-063237e7fde5,ʃə:_77981701-bff1-498b-a88bf2ff0d46a7a3
tsʹaa,sa,stingray;arraia,3PL.POSS;3PL.POSS,ignore,tsʹaa_be6ef049-4a0b-4431-ade9-063237e7fde5,ʃa_9258a56c-b681-4637-922dc15c3cc4d778
tsʹaa,tsʹaah,stingray;arraia,stingray;arraia,merge,tsʹaa_be6ef049-4a0b-4431-ade9-063237e7fde5,tsʹaah_be6ef049-4a0b-4431-ade9-063237e7fde5
s’ëëh,ʃa:h,dream;sonho,sobrinho (pl ʃa̰ːh),ignore,s’ëëh_c2500249-3e46-4056-8e86-6d258b177a45,ʃa:h_5b3da68a-6968-434c-b4b07f6f03dba96b
s’ëëh,ʃa:h,dream;sonho,be.hungry,ignore,s’ëëh_c2500249-3e46-4056-8e86-6d258b177a45,ʃa:h_6e02a210-1c01-428c-a1b3d6080453fb64
s’ëëh,ʃə:,dream;sonho,camarão,ignore,s’ëëh_c2500249-3e46-4056-8e86-6d258b177a45,ʃə:_77981701-bff1-498b-a88bf2ff0d46a7a3
s’ëëh,tsʹaah,dream;sonho,stingray;arraia,ignore,s’ëëh_c2500249-3e46-4056-8e86-6d258b177a45,tsʹaah_be6ef049-4a0b-4431-ade9-063237e7fde5
jag,jʌ̃g,hammock;rede,esmagar; forma marcada,ignore,jag2_c3965c56-0a44-4337-9442-b76f3f1ecc37,jʌ̃g_01bb2edb-ff6e-420e-894a77ac8c58ea1b
jag,jəŋ,hammock;rede,sapo.sp,ignore,jag2_c3965c56-0a44-4337-9442-b76f3f1ecc37,jəŋ_df0ab2f6-c78d-4ce7-b9409f522b137faa
padëëk,badɨ:k,pendurado,socar terra,ignore,padə:k1_c3d960d6-c8b1-4659-b1e3-8e2b632633bb,badɨ:k_ec4b457c-f57d-40da-9afc1a28497674a1
padëëk,panyyg,pendurado,story;história,ignore,padə:k1_c3d960d6-c8b1-4659-b1e3-8e2b632633bb,panyyg1_b438b097-40f8-45db-98fc-91e5ba708d20
tsäng,ʃʌg,clay;barro,mandioca.massa,ignore,tsäng_c466f8d0-c63e-4dce-83d9-8000648a6ee9,ʃʌg_2d575f27-16ba-4d8b-b93bc3707a2b03f9
p’yym,pə:w,curare;curare,espécie de árvore,ignore,p’yym1_c58f3f30-b24e-49b3-89c7-a8dbbcc5fc5b,pə:w_afd1d56f-ca8f-4cca-9561cec36292ec9e
p’yym,pyym,curare;curare,snake.poison;veneno.cobra,unsure- best keep both,p’yym1_c58f3f30-b24e-49b3-89c7-a8dbbcc5fc5b,pyym_48a754db-ea05-4440-bcad-eec33e19477e
byyh,pə:,skin;pele,cobra.sp,ignore,byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6,pə:_8eeb53c7-1d25-48da-8b2d51f5314aa792
byyh,bə:h,skin;pele,suco,ignore,byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6,bə:h_962a8de8-7f65-4e60-b8a4c16d27943a33
byyh,bëëh,skin;pele,suco,ignore,byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6,bëëh_962a8de8-7f65-4e60-b8a4-c16d27943a32
byyh,bëh,skin;pele,2PL;2PL,ignore,byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6,bëh_59d8bf5a-dd20-44e8-b7a9-5081bab044ae
byyh,bii,skin;pele,breast;seios,ignore,byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6,bii_fb6c7157-1b9b-4d1b-9926-dcdea3043357
