\lx,\ge,\ps,\bb,\ph,\va,\vc,,
jamaʃiːʃ,macaquinho,n,,,,,,
jamɔg,catitu,n,,,,,,
jaɾaːk,onça pintada,n,,,,,,
jatad,aracu,n,,,,,,
ɟawaːj,mucura,n,,,,,,
ɟawɨb,"peixe-rebeca, bodó",n,,,,,,
jawʌk,japurá,n,,,,,,
jɔ(ː)n,tamanduá,n,,,,,,
jɔ̃ːp,japiim (espécie de ave),n,,,jɔ̃ːp,"Barbosa 2005, japiim",,
jɔ̃ːw,matapi (espécie de armadilha),n,,,jɔ̃ːw,"Barbosa 2005, matapi",,
jɔh,zagaia,n,,,,,,
jɔʔ,costas,n,,,,,,
jém,yesterday,adv?,Weir 1990,jɛm,,,,
jɤːʔ,pupunha,n,,,,,,
ɟiːp/ɟḭːp,beija-flor.sp,n,,,,,,
jigamʌ̃ːʔ,pomo de adão,n,,,,,,
ɟɨ̃m gapɛd,palma do pé,n,,,,,,
jiʔ,pronome indeterminado,pro,,,,,,
ɟɯ̰ːd,cerne,n,,,,,,
ɟɯːʔ,embrulho de folha,n,,,,,,
ɟɯːʔ,pupunha,n,,,,,,
jɯh,espécie de pássaro,n,,,,,,
joːm,"plantação, planta",n,,,,,,
ɟuːk,coçar,v,,,,,,
jṵːʔ,espécie de árvore,n,,,,,,
ɟũːʔ,espécie de mutuca,n,,,,,,
ɟug,espécie de planta,n,,,,,,
jʉʉ,close,v,Weir 1990,jəːʔ,,,,
juʔ,queimado,?,,,,,,
juʔ,fogo,n,,,,,,
jʌːʔ,espécie de fruta,n,,,,,,
jʌ̃g,"esmagar, forma marcada",v,,,,,,
jʌh,"mira, alvo",n,,,,,,
ɟʌŋ,barro,n,,,,,,
jxɨɨt,wash,v,Weir 1990,jɨ̰ːt,,,jɨ̰ːt,"Barbosa 2005, lavar"
kã̰ːd,terra,n,,,,,,
kaat,aunt,n,"Weir 1990, Weir 1994",kaːt,,,,
kad,uncle,n,"Weir 1990, Weir 1994",kad,,,kad,"Barbosa 2005, tio"
kalaak,hen,n,Weir 1990,kaɾaːk,,,kaɾaːk,"Barbosa 2005, galinha"
kamag,defunto,n,,,,,,
kamaɾab,lua,n,,,,,,
kanũːd,socó,n,,,,,,
kaɾabaʔ,arco,n,,,kaɾabaʔ,"Barbosa 2005, arco",,
