entry_id,headword,morph_type,pronunciation,variant_of,these_vars,note,sense,date,date_modified
dɛn_d2b3947a-62a9-499f-a2db-b953e9ae2cd0,dɛn,stem,,,,,['26b83782-01f0-42f1-96bc-bbc896ef2e5d'],2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
do_fd9bc761-cadc-4cb2-8af8-d271ab95e039,do,stem,do,"{'doo1_96f3879f-cf4c-469d-ac46-4a89f9d8374d': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,{'bibliography': 'SIL 2011'},,2018-04-05T05:51:07Z,2018-06-20T01:39:35Z
dó1_b34c70de-07c4-4851-930b-b7d6ef30937c,dó,stem,dɔ,,,{'bibliography': 'SIL 2011'},['3322dadc-8d0c-4448-a5bd-c32a1f45c1d6'],2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
do̰ːb_47303514-3cb9-4b25-89cd-865353c9646a,do̰ːb,stem,,,,,['dc0d035f-9396-4075-8a46-61cea3982ffc'],2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
doːh1_d9caa3ff-06cc-413b-a9c7-398060ef979c,doːh,stem,,,,,['d3efb377-51f8-435e-95c9-7b26e1b0a9de'],2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
doːh2_f09ac595-bfa8-49ef-8682-d9715ae4591b,doːh,stem,,"{'daced675-7fe4-4fa2-b6fe-0a7a33a8cd6e': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Martins 2005; inexistente; negação'}}",,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
dõm_821df784-fbcb-40de-a505-a26f965d09ed,dõm,stem,dɔ̃m,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},['febdc428-5f2f-41af-93e6-d42ce69de39d'],2018-07-08T18:00:21Z,2018-07-08T18:02:44Z
dõm karekẽd_dba9ba48-2912-4dc8-bedc-4b8441e09274,dõm karekẽd,phrase,dõm kaɾekɛ̃d,"{'72dfd244-8c02-4283-8a2b-8bffb49a0394': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
dõm karekẽẽt_79484fd0-7647-445a-8385-9f00f9238675,dõm karekẽẽt,phrase,dõm kaɾekɛ̃:t,,,{'bibliography': 'SIL 2011'},['72dfd244-8c02-4283-8a2b-8bffb49a0394'],2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
dõm sapuu_e51c25f2-04f8-415c-bd67-bdf0c7086f2e,dõm sapuu,phrase,dɔ̃m ʃapu:,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}",,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},['27d73ce1-3364-481b-b46a-f3048ea1afaf'],2020-01-08T19:05:08Z,2020-01-08T19:06:42Z
