headword,sense,entry_id,morph_type,pronunciation,variant_of,these_vars,other_forms,note,date,date_modified
p'ooh,"[['', ""{'en': 'hot.pepper', 'pt': 'pimenta'}"", ""{'en': 'hot pepper', 'pt': 'pimenta'}"", ""{'en': 'hot pepper', 'pt': 'pimenta'}"", '', '']]",p&apos;ooh2_8351b529-6dec-4374-bbcc-30b2cb59847d,stem,poʔoh,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-09-03T23:33:33Z,2020-02-04T15:34:03Z
ta̰ːh,,ta̰ːh_837c9033-a858-4c46-805d-0c6f7aaa1dbe,stem,,"{'t&apos;aah2_58825302-35ee-4cc7-ba14-51e09b12f26f': {'type': '_component-lexeme', 'variant-type': 'Martins', 'summary': 'filho (pl taːh)'}}",,,,2018-06-20T03:25:13Z,2018-06-20T03:25:38Z
bahe,"[['n', ""{'pt': 'cutia.preta'}"", ""{'pt': 'cutia.preta'}"", '', '', '']]",bahe1_838757f3-eee2-4b0d-a274-7241484e3c22,stem,bahe,,"{'baheʔ_b892b074-66d7-4798-957b-c47f6bcb5e01': {'type': '_component-lexeme', 'variant-type': 'Barbosa', 'summary': 'cutia'}}",,"{'bibliography': ""se traduz a 'paca' em cartilha 4; lição 18  lição 17""}",2018-03-08T07:17:53Z,2019-01-14T03:36:18Z
akuus,"[['v', ""{'pt': 'espalhar'}"", ""{'pt': 'espalhar'}"", '', '', ""{'akus_532675cd-55f8-4daf-91ac-6fb60478016d': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}, 'ak&apos;uuts_c9e21d27-da30-451c-b986-8b1d12530f77': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",akuus_8388b674-a9f9-418b-8a3a-ec5046b448aa,stem,aku:ʃ,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:52Z,2018-06-20T01:46:10Z
akajaa,"[['v', ""{'pt': 'chegar'}"", ""{'pt': 'chegar; terminar'}"", '', '', ""{'akaja_661cf15c-fe73-4d92-997c-a7572c531f9b': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",akajaa_83922ee0-946f-468f-b13d-bdba82d957ba,stem,kaja:,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:52Z,2019-12-15T23:05:58Z
awëëh,,awëëh1_8393e2f2-37ff-47c8-a761-cb942a7e9830,stem,awə̰:h,"{'awëh_ad9e6c80-0862-401d-9958-6bba1d783910': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",,,{'bibliography': 'SIL 2011'},2018-03-22T16:45:13Z,2019-11-06T01:29:38Z
basooh,,basooh1_8408d89c-9412-4407-be64-483c830901dd,stem,baʃo:h,"{'ac8a1843-388b-427b-918b-43d78bca995f': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
jã̰ːɾ,"[['Noun', ""{'en': 'caranguejo'}"", '', '', '', '']]",jã̰ːɾ_84285bfb-a147-47a4-a0d0-30818be5a223,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
nɨng,,nɨng1_843e00b2-7a3a-4cfd-bf66-e56a125e44d3,stem,,"{'nyng_21c3900f-78bd-45ac-9f5a-609460206103': {'type': '_component-lexeme', 'variant-type': 'Weir', 'summary': '1990; exist'}}",,,,2018-06-20T03:09:39Z,2018-06-20T03:10:04Z
ɾaːb,"[['Noun', ""{'en': 'espécie de árvore da caatinga'}"", '', '', '', '']]",ɾaːb_844bc49d-15ff-46f9-9bbc-334bd10da620,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
agyyt,"[['Verb', ""{'en': 'stand', 'pt': 'ficar.em.pé'}"", '', '', '', '']]",agyyt_844f1202-4d2e-4db2-bdb5-08c5213c41af,stem,ʔaˈk’ɨ:t˺,,"{'agëëd_0077e8c6-ecaf-409e-9076-3ac5e8752c89': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}, 'gëëd_ca7daac0-f358-4922-9534-3c85afb51ee5': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,"{'bibliography': 'Fieldnotes Epps/Obert; 2018', 'Note': 'problem:ʔaˈk’ɨ:t˺ or ʔaˈk’ǝ:t˺'}",2018-07-10T23:14:38Z,2018-07-10T23:15:10Z
