headword,sense,entry_id,morph_type,pronunciation,variant_of,these_vars,other_forms,note,date,date_modified
ʃaɾoːp,"[['Noun', ""{'en': 'cipó'}"", '', '', '', '']]",ʃaɾoːp_0023c0a0-6de7-452a-85b6-0f6e0794014a,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
wao taah,"[['Noun', ""{'en': 'small.basket', 'pt': 'cesto.pequeno'}"", ""{'en': 'basket; small', 'pt': 'cesto pequeno'}"", '', '', '']]",wao taah_002ca005-1366-4a7b-aff1-ac10db10b768,phrase,waʔoʔ ta:h,,,,,2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
daheg'õõn,,daheg&apos;õõn_0062786c-16c2-4325-b3e4-fac26c159e80,stem,dahegõ̰:n,"{'6d128d41-81a3-471c-9d02-f855e642415a': {'type': '_component-lexeme', 'variant-type': 'Habitual'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
agëëd,,agëëd_0077e8c6-ecaf-409e-9076-3ac5e8752c89,stem,,"{'agyyt_844f1202-4d2e-4db2-bdb5-08c5213c41af': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,,,2019-11-06T14:32:27Z,2019-11-06T14:32:27Z
tame tame,"[['n', ""{'pt': 'árvore.sp'}"", ""{'pt': 'esp. de árvore; tinta para pintar as cuias de casca dessa árvore'}"", '', '', ""{'tame_31e29a2f-491b-4003-a502-dfec5bc71c0f': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}""]]",tame tame_007e8774-ab6b-4f2a-b53a-64b144453ab0,phrase,tame tame,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ʃɤːw,"[['Noun', ""{'en': 'pajé (pl sɤ̰ːw)'}"", '', '', '', '']]",ʃɤːw_009b3e07-21aa-4c01-aeda-2447f5bc3e94,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
naga̰ːd,"[['Noun', ""{'en': 'língua'}"", '', '', '', '']]",naga̰ːd_00bdbea3-65ff-4c88-bb09-064fdb77ec72,stem,,,,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
du doo,"[['v', ""{'pt': 'começar'}"", ""{'pt': 'começar'}"", '', '', ""{'du do_f04e460e-1fca-47d3-a451-15fe4f773b94': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",du doo_00f0ad34-5134-4419-9827-2e04360e87e0,phrase,du do:,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ʔawog,"[['Noun', ""{'en': 'seu abdômen'}"", '', '', '', '']]",ʔawog_00f7b57b-f98c-4687-bea0-9f62e1329d93,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
agõng,"[['v', ""{'pt': '?'}"", ""{'pt': 'dor associada à pressão do pus'}"", '', '', ""{'agõõ&#xA;agõõh_1d766776-1931-480e-977b-b58d276ced0d': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}, 'agõõh_6c755d0f-ffd9-4912-88d2-daaf488e9cf3': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",agõng_0100623e-019f-4443-b775-20ca89bf8c76,stem,agõŋ,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
na,"[['v imp', ""{'pt': 'me.da'}"", ""{'pt': 'me da'}"", '', '', '']]",na1_0126d0ce-96ed-408a-bd28-66f3a462840f,stem,na,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ea,"[['', ""{'pt': 'PFX'}"", '', '', '', '']]",ea_0137227f-4398-4e97-be72-880791a17548,stem,,,,,,2020-01-26T04:25:41Z,2020-01-26T04:25:41Z
ah'ỹỹ,,ah&apos;ỹỹ_014da936-e5cd-4990-ada4-17cbaa8a737a,stem,ahɨ̰̃:,"{'ahỹỹh_f733ec49-2377-44b4-8f60-a93e6a22ff4e': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,,{'bibliography': 'encontrado em cartilha 4; lição 17'},2018-03-23T16:11:38Z,2020-01-22T21:25:22Z
wahawam,"[['Verb', ""{'en': 'laugh', 'pt': 'rir'}"", ""{'en': 'laugh', 'pt': 'rir'}"", '', '', '']]",wahawam_015a8cbe-5616-4915-bdc0-60fee2731a63,root,wa'haw'a:bm,,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2019-11-16T19:23:13Z,2019-12-21T21:05:49Z
ʔawɨp,"[['Noun', ""{'en': 'relâmpago'}"", '', '', '', '']]",ʔawɨp_01681d16-ebbc-4e5a-bea3-69455f2eb76e,stem,,,,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
dabëëh,,dabëëh_01834ee1-a032-4bfb-8827-07f2ace9c99f,stem,dabə:h,"{'af5b17b1-8339-44fa-aace-571fa3b52be2': {'type': '_component-lexeme', 'variant-type': 'Causativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:52Z,2018-06-20T01:46:10Z
jʌ̃g,"[['Verb', ""{'en': 'esmagar; forma marcada'}"", '', '', '', '']]",jʌ̃g_01bb2edb-ff6e-420e-894a-77ac8c58ea1a,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
jag,"[['n', ""{'pt': 'rede'}"", '', '', '', ""{'jak ỹỹ_20ea7807-0cbe-4ee3-a129-919380bcf6fc': {'type': '_component-lexeme', 'variant-type': '1S Possessivo'}}""]]",jag1_01f9bb3f-592f-4c82-b820-5c534600a288,stem,jag,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2019-01-14T03:36:18Z
habë,"[['v', ""{'pt': 'espantar'}"", ""{'pt': 'afugentar; espantar'}"", '', '', ""{'habëë_7bb289f9-6ac8-4f7f-8a8f-363b81b3c205': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",habë_021ba618-79ea-4d99-8a23-30e1b5b60c40,stem,habə,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
janooh,"[['', ""{'en': 'shoulder', 'pt': 'ombro'}"", ""{'en': 'shoulder', 'pt': 'ombro'}"", '', '', '']]",janooh_022d930d-b619-4a77-8ff4-fa5ea30739e8,stem,jaˈno:h,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-07T20:57:29Z,2018-07-07T20:58:17Z
p'aa hẽnh,"[['adv?', ""{'en': 'again', 'pt': 'denovo'}"", ""{'en': 'again', 'pt': 'denovo'}"", '', '', '']]",p&apos;aa hẽnh_022f0eb2-2301-40e8-809c-927ccebeff3c,phrase,paʔaʔ hẽɲ,,,,{'bibliography': 'Epps/Obert; fieldnotes 2019'},2018-07-15T20:18:56Z,2020-02-04T15:34:03Z
dajëp,"[['', ""{'en': 'die', 'pt': 'morrer'}"", ""{'en': 'die', 'pt': 'morrer'}"", '', '', '']]",dajëp_024eb574-aa9a-4bea-adc6-12857406c334,stem,daˈjǝp˺,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-10T00:09:23Z,2018-07-10T00:10:06Z
ʔaɾoːɾ,"[['Noun', ""{'en': 'carará'}"", '', '', '', '']]",ʔaɾoːɾ_02510f6f-9440-4065-8ef1-609ab7927a49,stem,,,,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
noo hẽnh,"[['adv', ""{'en': 'downriver', 'pt': 'rio.abaixo'}"", ""{'en': 'downriver', 'pt': 'rio.abaixo'}"", '', '', '']]",noo hẽnh_02548d67-7403-4ae6-be8f-4064def13b13,phrase,no: hɛ̃ɲ,"{'noo2_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}, 'hẽnh_63c8102a-b241-4712-a838-70b21b5a086e': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}",,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2018-03-21T21:43:54Z,2019-12-21T21:16:56Z
tawarẽẽh,"[['n', ""{'en': 'small.fly', 'pt': 'mosca;pequena'}"", ""{'en': 'small fly (spec.)', 'pt': 'mosca pequena (esp;)'}"", '', '', '']]",tawarẽẽh1_025c1d2a-ce6b-4f4a-89c6-58f7995ce55a,stem,tawaˈɾẽ:ʔ,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-03-08T07:17:53Z,2019-01-14T03:36:18Z
h'ëëd,"[['Question particle', ""{'en': 'what', 'pt': 'o que'}"", ""{'en': 'what', 'pt': 'o que'}"", '', '', '']]",h&apos;ëëd1_025fec92-6af8-4d61-8544-bdb0e0362545,stem,hǝʔǝd˺,,,,{'bibliography': 'Fiednotes Epps/Obert; 2018'},2018-07-11T00:00:38Z,2020-02-04T15:32:23Z
atsóm,"[['Verb', ""{'en': 'swim', 'pt': 'nadar'}"", ""{'en': 'swim', 'pt': 'nadar'}"", '', '', '']]",atsóm_02a79639-e72e-482a-98fe-e2a3e76d3f81,stem,ʔaˈɉ’ɔbm,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-10T23:19:31Z,2018-07-10T23:20:01Z
jeer,"[['Noun', ""{'en': 'bastard.plantain', 'pt': 'bananeiro.do.mato'}"", ""{'en': 'bastard plantain', 'pt': 'bananeira do mato; sororoca'}"", '', '', '']]",jeer2_02adeefa-c0e5-4849-95e7-63f3e5494313,stem,je:ɾᵊ,,,,,2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
ʔawaɾ,,ʔawaɾ_02cfa92b-6ede-4498-a37c-7f6ef21e91b0,stem,,"{'awaar_7941eab2-6521-4894-ab06-a769c7e59eba': {'type': '_component-lexeme', 'variant-type': 'Barbosa', 'summary': 'cachorro'}}",,,,2018-06-20T01:58:47Z,2018-06-20T01:59:18Z
keroo,"[['Noun', ""{'en': 'macaw', 'pt': 'arara.azul'}"", ""{'en': 'blue macaw', 'pt': 'arara azul'}"", '', '', '']]",keroo_0309e768-1308-4e05-955c-92fa27bdc0b1,stem,,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-27T20:28:41Z,2018-07-27T20:29:13Z
hɯ̰ːb,"[['Noun', ""{'en': 'desejo'}"", '', '', '', '']]",hɯ̰ːb_030b2a7d-4650-45f3-a4e4-5c6c0edeb33e,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
naëng,"[['n', ""{'en': 'water', 'pt': 'água'}"", ""{'en': 'water', 'pt': 'água'}"", '', '', ''], ['n', ""{'en': 'rain', 'pt': 'chuva'}"", ""{'en': 'rain', 'pt': 'chuva'}"", '', '', '']]",naëng_031a7339-0644-4618-af27-88f71d6565db,stem,naˈʔǝgŋ,,"{'naʔəŋ1_6a936ca2-4b81-4ef8-9523-96493e28028f': {'type': '_component-lexeme', 'variant-type': 'Barbosa', 'summary': 'água'}}",,{'bibliography': 'SIL 2011; Fieldnotes Epps/Obert; 2018'},2018-03-08T07:17:53Z,2018-07-07T18:11:22Z
j'eenh,"[['?', ""{'pt': '?'}"", ""{'pt': '?'}"", '', '', '']]",j&apos;eenh_033fa6a4-bc25-446d-8349-5ce48c651c79,stem,jḛ:ɲ,,,,{'bibliography': 'encontrado em cartilha 4; lições 2; 3 e 12; cada vez com sentido futuro'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
emaan,"[['v', ""{'pt': 'peneirar'}"", ""{'pt': 'peneirar'}"", '', '', '']]",emaan_03582b22-b335-4af8-8c23-2043541e28f8,stem,ema:n,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
gaj'eej,,gaj&apos;eej_0370d9a3-7912-458c-bb70-6097fb5de782,stem,gajḛ:j,"{'f7801daa-0d39-48f9-9f63-f852c4125e16': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
ahong,,ahong_037fbb9c-c845-4e3d-9bc3-fe8bbf7c2a5f,stem,ahoŋ,"{'ahõng_5eceaf57-d989-4dc1-9a1f-72045734eeed': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,,{'bibliography': 'SIL 2011'},2018-03-22T23:19:58Z,2018-06-20T01:46:10Z
ʔagɔp,"[['Verb', ""{'en': 'buscar água'}"", '', '', '', '']]",ʔagɔp_04058245-c971-4e27-85ac-b9a2c17f90d4,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
kawa,"[['', ""{'en': 'burn.big.fire', 'pt': 'queimar.fogo.grande'}"", ""{'en': 'to burn witha big fire', 'pt': 'queimar com fogo grande (roça)'}"", '', '', '']]",kawa_0431db34-f253-491d-bb2e-bcb885fdcd8d,stem,kaˈwaʔ,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-09T13:45:32Z,2018-07-09T13:46:46Z
noo keham,"[['Verb', ""{'en': 'yawn', 'pt': 'bocejar'}"", ""{'en': 'yawn', 'pt': 'bocejar'}"", '', '', '']]",noo keham_0456f9ea-7465-48e4-9c8e-0237e472be1c,phrase,nɔ̃:keʔˈhabm,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-10T23:43:22Z,2018-07-10T23:43:53Z
asooh,"[['v', ""{'en': 'sit', 'pt': 'sentar'}"", ""{'en': 'sit', 'pt': 'sentar'}"", '', '', '']]",asooh_045c762b-0b2e-4233-a013-7e921270d050,stem,ʔaˈʃo:h,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-03-08T07:17:53Z,2018-07-10T16:00:26Z
ety,,ety_047db998-72df-46aa-a083-13e0b004ec6c,stem,etɨ,"{'9eb8fb8f-3e49-45aa-a76c-8512171d60e7': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:52Z,2018-06-20T01:46:10Z
og,"[['?', ""{'pt': '?'}"", ""{'pt': '?'}"", '', '', '']]",og_0494a7fa-d8da-4ac0-91c0-9a9720cc9179,stem,og,,,,{'bibliography': 'encontrado em cartilha 4; lição 3; ortografia não certa'},2018-03-08T07:17:53Z,2018-06-20T01:06:55Z
yes,"[['Verb', ""{'en': 'be.scarred'}"", '', '', '', '']]",yes_04990b15-8b2a-461b-a60e-2fb685209222,stem,jeʃ,,,,{'bibliography': 'Weir 1990'},2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
tamab,"[['', ""{'pt': 'sozinho'}"", '', '', '', '']]",tamab_049f135b-6dbd-4925-9a24-c8006b450d79,stem,,,,,,2020-01-25T04:42:32Z,2020-01-25T04:42:32Z
s'ĩĩs,"[['n', ""{'pt': 'banana.sp'}"", ""{'pt': 'esp. de banana'}"", '', '', '']]",s&apos;ĩĩs_04a67789-1620-4fc0-84d2-208fb49de8d2,stem,ʃḭ̃:ʃ,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
sét hẽ,"[['', ""{'en': 'NMRL:1', 'pt': 'NMRL:1'}"", ""{'en': 'one', 'pt': 'um'}"", '', '', '']]",sét hẽ_04d14da4-0773-43e5-be7b-25fe3fe7100c,phrase,ʃɛt hẽʔ,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}",,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-07T17:53:45Z,2018-07-08T18:27:08Z
kasarõ,,kasarõ_04f383e2-28e7-4ca8-8903-46ecb268dcec,stem,kaʃaɾõ,"{'32a368a7-d87b-441c-bc01-f27a308a8b1a': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
pɤː,"[['?', ""{'en': 'perto'}"", '', '', '', '']]",pɤː_0502685b-1c3b-4176-8f36-aa53edfdebee,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
manaɨɨn,"[['Noun', ""{'en': 'cará'}"", '', '', '', '']]",manaɨɨn_0519d13e-de74-4be6-9a95-081baa8e3956,stem,manaɨːn,,,,{'bibliography': 'Weir 1990'},2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
matëh,,matëh_0577a7cf-1a2c-4828-a81c-ecff2bab519b,stem,matəh,"{'03c77401-7d29-449e-8690-79b696621935': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,,{'bibliography': 'cartilha 4; lição 13'},2018-03-08T07:17:52Z,2018-06-20T01:10:35Z
tatiʔ,"[['pro?', ""{'en': 'aquele'}"", '', '', '', '']]",tatiʔ_0585473a-015e-4c8d-8204-f0cdcdef9673,stem,,,,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
ebooh,"[['v', ""{'pt': 'caçar'}"", ""{'pt': 'caçar'}"", '', '', ""{'eboh_479d7d4d-db5a-43de-ab6b-6ec74ab9881e': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}, 'eb&apos;ooh_9993bde4-2888-40e6-b27e-800fa235ee59': {'type': '_component-lexeme', 'variant-type': 'Plural'}}""]]",ebooh_058fbf01-f274-4cf7-a1c2-8b39c2d69bb1,stem,ebo:h,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
esëëp,"[['v', ""{'pt': 'custar'}"", ""{'pt': 'custar; durar muito'}"", '', '', ""{'es&apos;ëëb_9f29486e-c14a-498d-b807-a3b7daaa0252': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",esëëp_05a5fb56-de84-4139-bc8e-7b040c572e59,stem,eʃə:p,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
pɛːʔ,"[['Noun', ""{'en': 'farinha'}"", '', '', '', '']]",pɛːʔ_05ad656e-97a8-4319-9d08-620ffd56db90,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
takɤ̰p,"[['?', ""{'en': 'forte'}"", '', '', '', '']]",takɤ̰p_05bff17e-0f67-47a7-8c0f-aaeb5194a218,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
duːʃ,"[['Noun', ""{'en': 'papagaio.sp'}"", '', '', '', '']]",duːʃ_05cbd907-fae2-42cf-b43f-d30a3027504f,stem,,,,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
mahõg,,mahõg_05dd3abd-6534-4b59-b015-78d391e1d399,stem,mahõg,"{'449e256e-85a4-465c-bcf3-571d63f37366': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
karapee,"[['n', ""{'en': 'child.sg', 'pt': 'criança.sg'}"", ""{'en': 'child (sg)', 'pt': 'criança (sg) acompanham ou trabalham para uma pessoa'}"", '', '', '']]",karapee _0608a430-217f-4595-8307-b236eef0ae5b,stem,kaɾaˈpe:ʔ,,"{'karepé_7c800678-ce5e-401e-abba-a2b95fbbf65c': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",,{'bibliography': 'SIL 2011; Fieldnotes Epps/Obert; 2018'},2018-03-08T07:17:53Z,2018-07-06T18:43:47Z
basong,"[['v', ""{'pt': 'ter.cheiro'}"", ""{'pt': 'ter cheiro'}"", '', '', ""{'besoh_43382369-637a-4e7b-91a8-d2a15d6e474d': {'type': '_component-lexeme', 'variant-type': 'Plural'}, 'basoo_627305fe-b9ca-4756-a2db-7d18e6125b3a': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}, 'basooh1_8408d89c-9412-4407-be64-483c830901dd': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",basong_061b4156-051a-46d0-8236-0cd083292685,stem,baʃoŋ,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ehãw,,ehãw_0631abaa-832b-4f9c-a680-67323f0bec57,stem,ehãw,"{'524de672-cfcd-498f-ad8a-ff63f63e40a6': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
baad,"[['adv', ""{'en': 'well', 'pt': 'bem'}"", ""{'en': 'well', 'pt': 'bem; bom'}"", '', '', '']]",baad_068ae71c-c922-438c-9569-dad5b2122f74,stem,ba:d˺,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-03-08T07:17:53Z,2018-07-06T19:32:04Z
moo haj'aa,"[['v', ""{'pt': 'fazer'}"", ""{'pt': 'fazer; conseguir'}"", '', '', ""{'moo hajaa_4e172768-431f-4ec3-bae9-ac35eb37ca87': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}, 'mo haj&apos;aa_848df29e-e1a4-4336-95fe-fa222b76d202': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}""]]",moo haj&apos;aa_06db6091-79d5-477c-a422-797dfc4e6c9b,phrase,mo: haja̰:,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:52Z,2020-02-04T15:32:23Z
taats,"[['Noun', ""{'en': 'small.drum', 'pt': 'tambor'}"", ""{'en': 'drum (small)', 'pt': 'tambor'}"", '', '', '']]",taats_06fa1be1-fd07-4e5b-8efb-4684de883e8e,stem,ta:ɟ̚,,,,,2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
bareä̃m duuh,"[['n', ""{'pt': 'pessoa.medrosa'}"", ""{'pt': 'pessoa medrosa'}"", '', '', '']]",bareä̃m duuh_0708e024-79a0-4338-a334-67e1b020722f,phrase,baɾeʌ̃m du:h,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
as'ëëg,,as&apos;ëëg_071fd2b5-c8ec-405b-a840-71a0419d0870,stem,aʃə̰:g,"{'1681b58c-d028-4b6c-af21-833f4abef2ce': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
wãːʔ,,wãːʔ_073d0277-42e3-44aa-ae4b-f715bb7fbca7,stem,,"{'wãã_173a9672-acc9-46fd-bfc1-a486ca2c20b6': {'type': '_component-lexeme', 'variant-type': 'Martins', 'summary': 'buriti'}}",,,,2018-06-20T03:42:57Z,2018-06-20T03:43:24Z
baros,"[['v', ""{'pt': 'aguado'}"", ""{'pt': 'aguado'}"", '', '', ""{'barots_0fd1f641-6e7a-4918-b8d4-849ef14f2105': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",baros_075922fd-9874-48ce-8813-f6705117c88d,stem,baɾoʃ,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
kakoos yb,"[['Noun', ""{'en': 'porcupine', 'pt': 'cuandu'}"", ""{'en': 'porcupine', 'pt': 'cuandu; porco-espinho'}"", '', '', '']]",kakoos yb_07832269-7792-4503-a931-31d64643cc9a,phrase,kako:ʃ ʔɨb̚,,,,,2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
gatoj,"[['n', ""{'pt': 'flecha'}"", ""{'pt': 'flecha; planta que se faz flecha'}"", '', '', '']]",gatoj1_078662dd-26f4-4367-9768-df5ae4614a59,stem,gatoj,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2019-01-14T03:36:18Z
gew'õõw,,gew&apos;õõw_07c262a4-e950-44ab-ba8d-5b209013a2ee,stem,gewõ̰:w,"{'gewõõm_2e184b1f-4cc5-4e46-ae1e-f9ec715f3722': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-27T02:37:10Z,2020-02-04T15:32:23Z
jeti,"[['adv', ""{'en': 'tomorrow', 'pt': 'amanhã'}"", ""{'en': 'tomorrow', 'pt': 'amanhã'}"", '', '', ""{'jat_a953c0b2-bd7e-45ad-8a54-821e3aa417b3': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}""]]",jeti_07ed138d-ebf1-48c5-989e-c0786f993fff,stem,jeti,,"{'jatiʔ_0b1cceca-d60b-4282-966e-c4c7872762fe': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2018-03-08T07:17:52Z,2019-11-25T02:16:17Z
ga̰ɟ,"[['Noun', ""{'en': 'areia'}"", '', '', '', '']]",ga̰ɟ_07f4b7eb-2a95-4855-9a4d-8837b5a4006e,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
sũũts,"[['n op', ""{'pt': 'cordão.umbilical'}"", ""{'pt': 'cordão umbilical'}"", '', '', '']]",sũũts_07fc6bd3-d3a8-4027-9945-2f8878c2efa9,stem,ʃũ:ɟ,,"{'ʃũːɟ_45f4d90f-6540-418c-a6ce-a30c452fdfb8': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ahäng,"[['v', ""{'pt': 'sentar.no.chão'}"", ""{'pt': 'sentar no chão; estar'}"", '', '', ""{'dahäng_8ab640ce-f06d-48f7-bdac-ab47cd48ff0a': {'type': '_component-lexeme', 'variant-type': 'Causativo'}, 'ahëë_c341ea39-5565-4c4d-9307-015889a92233': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}, 'ahëëh_f552375d-10e3-4742-a485-933874754632': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",ahäng_080a15b9-a5d1-4501-a837-cf7c5c7cdc12,stem,ahʌŋ,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
hẽ,"[['onom', ""{'pt': 'levantar.coisa'}"", ""{'pt': 'exclamação (grito) quando levanta alguma coisa pesada'}"", '', '', '']]",hẽ1_081a7a8a-0158-4d80-abae-d16c5ebdcef7,stem,hɛ̃,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
as'aats,"[['adj?', ""{'en': 'rotten', 'pt': 'podre'}"", ""{'en': 'rotten', 'pt': 'podre'}"", '', '', '']]",as&apos;aats_0824071b-53d6-41b3-bab0-0acf2fd799c9,root,aʃaʔaɟ,,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2019-12-04T23:20:22Z,2019-12-04T23:24:02Z
pewóp hẽ,"[['', ""{'en': 'NMRL:2', 'pt': 'NMRL:2'}"", ""{'en': 'two', 'pt': 'dois'}"", '', '', '']]",pewóp hẽ_083be29b-071a-45ec-bd6b-c4935e1ae87b,phrase,peʔˈwɔp˺,,,,{'bibliography': 'Fieldnotes Epps/ Obert; 2018'},2018-07-08T18:25:37Z,2018-07-08T18:26:27Z
kawad puuw (tëëg),"[['Noun', ""{'en': 'kapok', 'pt': 'sumaumeira'}"", ""{'en': 'kapok', 'pt': 'sumaumeira'}"", '', '', '']]",kawad puuw (tëëg)_083ca43d-56d8-4a51-98c4-4109ef14938b,phrase,kawad̚ pu:w  tə:g̚,,,,,2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
ta h'ëëb tym,"[['', ""{'pt': '3SG-coração'}"", '', '', '', '']]",ta h&apos;ëëb tym_084047b3-92cc-4c52-9e72-35d8fc26b60c,phrase,,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}",,,,2020-01-26T04:44:48Z,2020-01-26T04:44:48Z
